Name,Rated voltage [kV],Rated current [kA],Nominal Frequency,R [Ohm/km AC@20Â°C],X [Ohm/km],L [Ohm/km],R0 (AC) [Ohm/km],X0  [Ohm/km],L0 [mH/km]
BD-FPE AL2-4x5   0.60 kV,0.6,1.8,50,0.00217,0.0014,0.004456,0.052,0.087,0.27693
BD-FPE AL2-4x6   0.60 kV,0.6,2.2,50,0.00194,0.00131,0.00417,0.243,0.149,0.474282
BD-FPE AL4-4x4   0.60 kV,0.6,2.6,50,0.0014,0.001,0.003183,0.173,0.123,0.391521
BD-FPE AL4-4x6   0.60 kV,0.6,3.6,50,0.00089,0.00071,0.00226,0.173,0.123,0.391521
BD-FPE CU2-4x4   0.60 kV,0.6,2,50,0.00168,0.00156,0.004966,0.084,0.132,0.420169
BD-FPE CU2-4x5   0.60 kV,0.6,2.3,50,0.00133,0.00137,0.004361,0.084,0.132,0.420169
BD-FPE CU2-4x6   0.60 kV,0.6,2.66,50,0.00122,0.00126,0.004011,0.091,0.093,0.296028
BD-FPE CU4-4x4   0.60 kV,0.6,3.56,50,0.00069,0.00101,0.003215,0.06,0.068,0.216451
BD-FPE CU4-4x5   0.60 kV,0.6,4.55,50,0.00079,0.00076,0.002419,0.06,0.06,0.190986
BD-IBER BB3000CU   1.00 kV,1,3,50,0.015,0.008,0.025465,0.094,0.17,0.541127
BD-IBER BV2500AL   1.00 kV,1,2.5,50,0.02,0.015,0.047746,0.125,0.319,1.015409
BD-KLOE-M LD1.   1.00 kV,1,1,50,0.047,0.034,0.108225,0.185,0.182,0.579324
BD-KLOE-M LD2.   1.00 kV,1,1.25,50,0.044,0.034,0.108225,0.183,0.18,0.572958
BD-KLOE-M LD2.CU   1.00 kV,1,1.55,50,0.029,0.045,0.143239,0.124,0.164,0.522028
BD-KLOE-M LD3.   1.00 kV,1,1.6,50,0.036,0.031,0.098676,0.137,0.138,0.439268
BD-KLOE-M LD3.CU   1.00 kV,1,2.05,50,0.024,0.037,0.117775,0.084,0.132,0.420169
BD-KLOE-M LD4.   1.00 kV,1,2.5,50,0.026,0.027,0.085944,0.147,0.094,0.299211
BD-KLOE-M LD4.CU   1.00 kV,1,2.7,50,0.017,0.028,0.089127,0.091,0.093,0.296028
BD-KLOE-M LD5.   1.00 kV,1,3.1,50,0.017,0.022,0.070028,0.11,0.077,0.245099
BD-KLOE-M LD5.CU   1.00 kV,1,3.5,50,0.01,0.014,0.044563,0.06,0.068,0.216451
BD-KLOE-M LDA1   1.00 kV,1,1.1,50,0.08,0.051,0.162338,0.078,0.087,0.27693
BD-KLOE-M LDA2   1.00 kV,1,1.25,50,0.048,0.046,0.146423,0.052,0.087,0.27693
BD-KLOE-M LDA3   1.00 kV,1,1.6,50,0.043,0.043,0.136873,0.052,0.087,0.27693
BD-KLOE-M LDA4   1.00 kV,1,2,50,0.039,0.028,0.089127,0.243,0.149,0.474282
BD-KLOE-M LDA5   1.00 kV,1,2.5,50,0.021,0.021,0.066845,0.173,0.123,0.391521
BD-KLOE-M LDA6   1.00 kV,1,3,50,0.021,0.023,0.073211,0.173,0.123,0.391521
BD-KLOE-M LDA7   1.00 kV,1,3.7,50,0.017,0.02,0.063662,0.121,0.098,0.311944
BD-KLOE-M LDC2   1.00 kV,1,2,50,0.03,0.044,0.140056,0.035,0.084,0.26738
BD-KLOE-M LDC3   1.00 kV,1,2.6,50,0.022,0.036,0.114592,0.028,0.071,0.226
BD-KLOE-M LDC6   1.00 kV,1,3.4,50,0.017,0.024,0.076394,0.104,0.113,0.35969
BD-KLOE-M LDC7   1.00 kV,1,4.4,50,0.013,0.017,0.054113,0.018,0.036,0.114592
BD-OTTERM U1250   0.66 kV,0.66,1.25,50,0.044,0.054,0.171887,0.052,0.087,0.27693
BD-OTTERM U1600   0.66 kV,0.66,1.6,50,0.031,0.042,0.13369,0.052,0.087,0.27693
BD-OTTERM U2000   0.66 kV,0.66,2,50,0.024,0.036,0.114592,0.243,0.149,0.474282
BD-OTTERM U2500   0.66 kV,0.66,2.5,50,0.02,0.033,0.105042,0.173,0.123,0.391521
BD-OTTERM U3500   0.66 kV,0.66,3.5,50,0.013,0.018,0.057296,0.035,0.084,0.26738
BD-TELEM KHF-14   0.75 kV,0.75,1,50,0.084,0.035,0.111408,0.06,0.06,0.190986
BD-TELEM KHF-16   0.75 kV,0.75,1.2,50,0.057,0.035,0.111408,0.158,0.157,0.499747
BD-TELEM KHF-18   0.75 kV,0.75,1.45,50,0.042,0.035,0.111408,0.122,0.157,0.499747
BD-TELEM KHF-26   0.75 kV,0.75,2.2,50,0.028,0.016,0.05093,0.078,0.059,0.187803
BD-TELEM KHF-28   0.75 kV,0.75,2.5,50,0.021,0.016,0.05093,0.06,0.059,0.187803
BD-TELEM KHF-36   0.75 kV,0.75,3,50,0.019,0.01,0.031831,0.052,0.033,0.105042
BD-TELEM KHF-38   0.75 kV,0.75,3.4,50,0.014,0.01,0.031831,0.04,0.033,0.105042
BD-TELEM KHF-46   0.75 kV,0.75,4,50,0.014,0.007,0.022282,0.039,0.024,0.076394
BD-TELEM KHF-48   0.75 kV,0.75,4.5,50,0.01,0.007,0.022282,0.03,0.024,0.076394
BD-TELEM KHF-56   0.75 kV,0.75,5,50,0.011,0.005,0.015915,0.03,0.019,0.060479
BD-TELEM KHF-58   0.75 kV,0.75,5.5,50,0.008,0.005,0.015915,0.023,0.019,0.060479
DROSS 1   6.00 kV,6,1,50,0.0276,0.2758,0.877899,0.001,0,0
EIAJB 3x120  15.00 kV,15,0.283,50,0.153,0.11,0.350141,1,1,3.183099
EIAJB 3x150  15.00 kV,15,0.316,50,0.124,0.106,0.337408,1,1,3.183099
EIAJB 3x185  15.00 kV,15,0.358,50,0.0991,0.103,0.327859,1,1,3.183099
EIAJB 3x240  15.00 kV,15,0.416,50,0.0754,0.101,0.321493,1,1,3.183099
EIAJB 3x25  15.00 kV,15,0.12,50,0.727,0.143,0.455183,1,1,3.183099
EIAJB 3x35  15.00 kV,15,0.144,50,0.524,0.136,0.432901,1,1,3.183099
EIAJB 3x50  15.00 kV,15,0.171,50,0.367,0.129,0.41062,1,1,3.183099
EIAJB 3x70  15.00 kV,15,0.209,50,0.268,0.123,0.391521,1,1,3.183099
EIAJB 3x95  15.00 kV,15,0.249,50,0.193,0.113,0.35969,1,1,3.183099
KUP 1   6.00 kV,6,1.2,50,0.001,0.001,0.003183,0.001,0.001,0.003183
KUP 1  25.00 kV,25,1.2,50,0.001,0.001,0.003183,0.001,0.001,0.003183
N2XS2Y 1x120  20.00 kV,20,0.368,50,0.153,0.125,0.397887,1.003,0.546,1.737972
N2XS2Y 1x150  20.00 kV,20,0.41,50,0.124,0.121,0.385155,0.765,0.297,0.94538
N2XS2Y 1x185  20.00 kV,20,0.462,50,0.0991,0.117,0.372423,0.739,0.294,0.935831
N2XS2Y 1x240  20.00 kV,20,0.534,50,0.0754,0.112,0.356507,0.715,0.291,0.926282
N2XS2Y 1x25  20.00 kV,20,0.159,50,0.727,0.16,0.509296,1.588,0.572,1.820733
N2XS2Y 1x35  20.00 kV,20,0.189,50,0.524,0.152,0.483831,1.383,0.566,1.801634
N2XS2Y 1x50  20.00 kV,20,0.223,50,0.387,0.145,0.461549,1.244,0.56,1.782535
N2XS2Y 1x70  20.00 kV,20,0.272,50,0.268,0.137,0.436085,1.122,0.554,1.763437
N2XS2Y 1x95  20.00 kV,20,0.324,50,0.193,0.13,0.413803,1.045,0.549,1.747521
N2XSY 1X500 10kV DE,10,0.739,50,0.046,0.096,0.3055775,1,1,3.183099
N2XSY 1x120  10.00 kV,10,0.364,50,0.154,0.117,0.372423,1.009,0.533,1.696592
N2XSY 1x120  20.00 kV,20,0.368,50,0.154,0.125,0.397887,1.003,0.546,1.737972
N2XSY 1x150  10.00 kV,10,0.405,50,0.127,0.113,0.35969,0.767,0.285,0.907183
N2XSY 1x150  20.00 kV,20,0.41,50,0.127,0.121,0.385155,0.765,0.297,0.94538
N2XSY 1x185  10.00 kV,10,0.457,50,0.103,0.11,0.350141,0.742,0.283,0.900817
N2XSY 1x185  20.00 kV,20,0.463,50,0.102,0.117,0.372423,0.739,0.294,0.935831
N2XSY 1x240  10.00 kV,10,0.528,50,0.08,0.105,0.334225,0.717,0.281,0.894451
N2XSY 1x240  20.00 kV,20,0.534,50,0.08,0.112,0.356507,0.715,0.291,0.926282
N2XSY 1x25  10.00 kV,10,0.157,50,0.711,0.149,0.474282,1.595,0.555,1.76662
N2XSY 1x25  20.00 kV,20,0.159,50,0.711,0.16,0.509296,1.588,0.572,1.820733
N2XSY 1x300  10.00 kV,10,0.593,50,0.065,0.102,0.324676,0.7,0.279,0.888085
N2XSY 1x300  20.00 kV,20,0.601,50,0.065,0.109,0.346958,0.698,0.289,0.919916
N2XSY 1x35  10.00 kV,10,0.187,50,0.518,0.142,0.452,1.39,0.549,1.747521
N2XSY 1x35  20.00 kV,20,0.189,50,0.518,0.152,0.483831,1.383,0.566,1.801634
N2XSY 1x400  10.00 kV,10,0.665,50,0.055,0.098,0.311944,0.536,0.525,1.671127
N2XSY 1x400  20.00 kV,20,0.674,50,0.054,0.105,0.334225,0.535,0.179,0.569775
N2XSY 1x50  10.00 kV,10,0.22,50,0.383,0.135,0.429718,1.251,0.544,1.731606
N2XSY 1x50  20.00 kV,20,0.223,50,0.382,0.145,0.461549,1.244,0.56,1.782535
N2XSY 1x500  20.00 kV,20,0.75,50,0.045,0.102,0.324676,0.524,0.177,0.563408
N2XSY 1x70  10.00 kV,10,0.269,50,0.266,0.127,0.404254,1.129,0.539,1.71569
N2XSY 1x70  20.00 kV,20,0.273,50,0.265,0.137,0.436085,1.122,0.554,1.763437
N2XSY 1x95  10.00 kV,10,0.321,50,0.193,0.122,0.388338,1.051,0.536,1.706141
N2XSY 1x95  20.00 kV,20,0.325,50,0.192,0.13,0.413803,1.045,0.549,1.747521
N2XSY 3x120  10.00 kV,10,0.349,50,0.155,0.092,0.292845,1,1,3.183099
N2XSY 3x150  10.00 kV,10,0.392,50,0.126,0.09,0.286479,1,1,3.183099
N2XSY 3x185  10.00 kV,10,0.443,50,0.102,0.087,0.27693,1,1,3.183099
N2XSY 3x240  10.00 kV,10,0.513,50,0.078,0.084,0.26738,1,1,3.183099
N2XSY 3x300  10.00 kV,10,0.579,50,0.063,0.082,0.261014,1,1,3.183099
N2XSY 3x35  10.00 kV,10,0.178,50,0.525,0.111,0.353324,1,1,3.183099
N2XSY 3x50  10.00 kV,10,0.21,50,0.387,0.106,0.337408,1,1,3.183099
N2XSY 3x70  10.00 kV,10,0.256,50,0.269,0.1,0.31831,1,1,3.183099
N2XSY 3x95  10.00 kV,10,0.307,50,0.194,0.095,0.302394,1,1,3.183099
N2YSY 1x120  20.00 kV,20,0.343,50,0.153,0.125,0.397887,1,1,3.183099
N2YSY 1x150  20.00 kV,20,0.381,50,0.127,0.121,0.385155,1,1,3.183099
N2YSY 1x185  20.00 kV,20,0.43,50,0.103,0.117,0.372423,1,1,3.183099
N2YSY 1x240  20.00 kV,20,0.496,50,0.079,0.112,0.356507,1,1,3.183099
N2YSY 1x25  20.00 kV,20,0.148,50,0.711,0.16,0.509296,1,1,3.183099
N2YSY 1x300  20.00 kV,20,0.556,50,0.065,0.109,0.346958,1,1,3.183099
N2YSY 1x35  20.00 kV,20,0.176,50,0.517,0.152,0.483831,1,1,3.183099
N2YSY 1x400  20.00 kV,20,0.623,50,0.055,0.105,0.334225,1,1,3.183099
N2YSY 1x50  20.00 kV,20,0.208,50,0.382,0.145,0.461549,1,1,3.183099
N2YSY 1x500  20.00 kV,20,0.692,50,0.046,0.102,0.324676,1,1,3.183099
N2YSY 1x70  20.00 kV,20,0.254,50,0.265,0.137,0.436085,1,1,3.183099
N2YSY 1x95  20.00 kV,20,0.302,50,0.193,0.13,0.413803,1,1,3.183099
NA2XSY 1x120  10.00 kV,10,0.283,50,0.251,0.117,0.372423,1.069,0.548,1.744338
NA2XSY 1x120  20.00 kV,20,0.287,50,0.251,0.125,0.397887,1.065,0.56,1.782535
NA2XSY 1x150  10.00 kV,10,0.316,50,0.207,0.113,0.35969,0.833,0.293,0.932648
NA2XSY 1x150  20.00 kV,20,0.32,50,0.207,0.121,0.385155,0.832,0.309,0.983577
NA2XSY 1x185  10.00 kV,10,0.358,50,0.166,0.11,0.350141,0.791,0.296,0.942197
NA2XSY 1x185  20.00 kV,20,0.362,50,0.166,0.117,0.372423,0.789,0.306,0.974028
NA2XSY 1x240  10.00 kV,10,0.416,50,0.128,0.105,0.334225,0.751,0.293,0.932648
NA2XSY 1x240  20.00 kV,20,0.421,50,0.127,0.112,0.356507,0.749,0.303,0.964479
NA2XSY 1x300  10.00 kV,10,0.469,50,0.104,0.102,0.324676,0.725,0.291,0.926282
NA2XSY 1x300  20.00 kV,20,0.474,50,0.102,0.109,0.346958,0.724,0.301,0.958113
NA2XSY 1x35  10.00 kV,10,0.144,50,0.859,0.142,0.452,1.691,0.566,1.801634
NA2XSY 1x35  20.00 kV,20,0.146,50,0.859,0.152,0.483831,1.686,0.581,1.84938
NA2XSY 1x400  10.00 kV,10,0.532,50,0.083,0.098,0.311944,0.56,0.179,0.569775
NA2XSY 1x400  20.00 kV,20,0.538,50,0.083,0.105,0.334225,0.56,0.186,0.592056
NA2XSY 1x50  10.00 kV,10,0.171,50,0.632,0.135,0.429718,1.462,0.561,1.785718
NA2XSY 1x50  20.00 kV,20,0.173,50,0.631,0.145,0.461549,1.458,0.575,1.830282
NA2XSY 1x500  10.00 kV,10,0.599,50,0.068,0.096,0.305577,0.543,0.177,0.563408
NA2XSY 1x500  20.00 kV,20,0.606,50,0.068,0.102,0.324676,0.542,0.184,0.58569
NA2XSY 1x70  10.00 kV,10,0.209,50,0.438,0.127,0.404254,1.262,0.555,1.76662
NA2XSY 1x70  20.00 kV,20,0.211,50,0.438,0.137,0.436085,1.258,0.568,1.808
NA2XSY 1x95  10.00 kV,10,0.249,50,0.317,0.122,0.388338,1.138,0.551,1.753887
NA2XSY 1x95  20.00 kV,20,0.252,50,0.316,0.13,0.413803,1.134,0.563,1.792085
NA2XSY 3x120  10.00 kV,10,0.271,50,0.255,0.092,0.292845,1,1,3.183099
NA2XSY 3x150  10.00 kV,10,0.304,50,0.208,0.09,0.286479,1,1,3.183099
NA2XSY 3x185  10.00 kV,10,0.345,50,0.166,0.087,0.27693,1,1,3.183099
NA2XSY 3x240  10.00 kV,10,0.401,50,0.127,0.084,0.26738,1,1,3.183099
NA2XSY 3x300  10.00 kV,10,0.453,50,0.103,0.082,0.261014,1,1,3.183099
NA2XSY 3x50  10.00 kV,10,0.162,50,0.642,0.106,0.337408,1,1,3.183099
NA2XSY 3x70  10.00 kV,10,0.199,50,0.444,0.1,0.31831,1,1,3.183099
NA2XSY 3x95  10.00 kV,10,0.238,50,0.321,0.095,0.302394,1,1,3.183099
NA2YSY 1x120  20.00 kV,20,0.267,50,0.251,0.125,0.397887,1,1,3.183099
NA2YSY 1x150  20.00 kV,20,0.298,50,0.207,0.121,0.385155,1,1,3.183099
NA2YSY 1x185  20.00 kV,20,0.337,50,0.166,0.117,0.372423,1,1,3.183099
NA2YSY 1x240  20.00 kV,20,0.391,50,0.127,0.112,0.356507,1,1,3.183099
NA2YSY 1x300  20.00 kV,20,0.44,50,0.104,0.109,0.346958,1,1,3.183099
NA2YSY 1x35  20.00 kV,20,0.136,50,0.869,0.152,0.483831,1,1,3.183099
NA2YSY 1x400  20.00 kV,20,0.499,50,0.083,0.105,0.334225,1,1,3.183099
NA2YSY 1x50  20.00 kV,20,0.161,50,0.631,0.145,0.461549,1,1,3.183099
NA2YSY 1x500  20.00 kV,20,0.562,50,0.068,0.102,0.324676,1,1,3.183099
NA2YSY 1x70  20.00 kV,20,0.197,50,0.438,0.137,0.436085,1,1,3.183099
NA2YSY 1x95  20.00 kV,20,0.235,50,0.316,0.13,0.413803,1,1,3.183099
NAEKEBA 3x120  20.00 kV,20,0.237,50,0.256,0.126,0.40107,1.5,0.25,0.795775
NAEKEBA 3x150  20.00 kV,20,0.267,50,0.21,0.122,0.388338,1.4,0.22,0.700282
NAEKEBA 3x185  20.00 kV,20,0.304,50,0.168,0.118,0.375606,1.3,0.21,0.668451
NAEKEBA 3x240  20.00 kV,20,0.355,50,0.13,0.114,0.362873,1.21,0.2,0.63662
NAEKEBA 3x300  20.00 kV,20,0.403,50,0.106,0.111,0.353324,1,1,3.183099
NAEKEBA 3x50  20.00 kV,20,0.14,50,0.644,0.146,0.464732,2.15,0.4,1.27324
NAEKEBA 3x70  20.00 kV,20,0.173,50,0.446,0.137,0.436085,1.95,0.35,1.114085
NAEKEBA 3x95  20.00 kV,20,0.208,50,0.323,0.131,0.416986,1.73,0.3,0.95493
NAKBA 3x120  10.00 kV,10,0.229,50,0.256,0.097,0.308761,2.4,1,3.183099
NAKBA 3x120/70   1.00 kV,1,0.249,50,0.255,0.083,0.264197,1.584,0.35,1.114085
NAKBA 3x150  10.00 kV,10,0.259,50,0.21,0.094,0.299211,2.1,1,3.183099
NAKBA 3x150/70   1.00 kV,1,0.281,50,0.208,0.084,0.26738,1.531,0.377,1.200028
NAKBA 3x185  10.00 kV,10,0.295,50,0.168,0.092,0.292845,1.8,1,3.183099
NAKBA 3x185/95   1.00 kV,1,0.32,50,0.167,0.083,0.264197,1.124,0.361,1.149099
NAKBA 3x240  10.00 kV,10,0.343,50,0.13,0.089,0.283296,1.48,1,3.183099
NAKBA 3x240/120   1.00 kV,1,0.372,50,0.131,0.082,0.261014,0.899,0.361,1.149099
NAKBA 3x25/16   1.00 kV,1,0.103,50,1.201,0.092,0.292845,6.87,0.408,1.298704
NAKBA 3x300  10.00 kV,10,0.389,50,0.106,0.087,0.27693,1,1,3.183099
NAKBA 3x300/150   1.00 kV,1,0.42,50,0.107,0.082,0.261014,0.737,0.354,1.126817
NAKBA 3x35/16   1.00 kV,1,0.124,50,0.876,0.09,0.286479,6.535,0.422,1.343268
NAKBA 3x50  10.00 kV,10,0.132,50,0.643,0.109,0.346958,3.4,1,3.183099
NAKBA 3x50/25   1.00 kV,1,0.148,50,0.642,0.087,0.27693,4.237,0.397,1.26369
NAKBA 3x70  10.00 kV,10,0.165,50,0.446,0.104,0.331042,3.1,1,3.183099
NAKBA 3x70/35   1.00 kV,1,0.182,50,0.444,0.085,0.270563,3.072,0.383,1.219127
NAKBA 3x95  10.00 kV,10,0.2,50,0.323,0.1,0.31831,2.8,1,3.183099
NAKBA 3x95/50   1.00 kV,1,0.218,50,0.321,0.084,0.26738,2.237,0.367,1.168197
NAKBA 4x120   1.00 kV,1,0.249,50,0.255,0.085,0.270563,1.02,0.299,0.951747
NAKBA 4x150   1.00 kV,1,0.281,50,0.208,0.086,0.273747,0.832,0.305,0.970845
NAKBA 4x16   1.00 kV,1,0.079,50,1.891,0.099,0.315127,7.564,0.401,1.276423
NAKBA 4x185   1.00 kV,1,0.32,50,0.167,0.085,0.270563,0.668,0.298,0.948563
NAKBA 4x240   1.00 kV,1,0.372,50,0.131,0.084,0.26738,0.524,0.295,0.939014
NAKBA 4x25   1.00 kV,1,0.103,50,1.201,0.094,0.299211,4.804,0.366,1.165014
NAKBA 4x300   1.00 kV,1,0.42,50,0.107,0.084,0.26738,0.428,0.289,0.919916
NAKBA 4x35   1.00 kV,1,0.124,50,0.876,0.092,0.292845,3.504,0.348,1.107718
NAKBA 4x50   1.00 kV,1,0.148,50,0.642,0.09,0.286479,2.568,0.332,1.056789
NAKBA 4x70   1.00 kV,1,0.182,50,0.444,0.087,0.27693,1.776,0.318,1.012225
NAKBA 4x95   1.00 kV,1,0.218,50,0.321,0.086,0.273747,1.284,0.307,0.977211
NAYCWY 4x120/70   1.00 kV,1,0.242,50,0.255,0.08,0.254648,1.02,0.292,0.929465
NAYCWY 4x150/70   1.00 kV,1,0.27,50,0.208,0.08,0.254648,0.832,0.292,0.929465
NAYCWY 4x185/95   1.00 kV,1,0.308,50,0.167,0.08,0.254648,0.668,0.292,0.929465
NAYCWY 4x35/16   1.00 kV,1,0.118,50,0.876,0.083,0.264197,3.504,0.343,1.091803
NAYCWY 4x50/25   1.00 kV,1,0.142,50,0.642,0.083,0.264197,2.568,0.312,0.993127
NAYCWY 4x70/35   1.00 kV,1,0.176,50,0.444,0.082,0.261014,1.776,0.3,0.95493
NAYCWY 4x95/50   1.00 kV,1,0.211,50,0.321,0.082,0.261014,1.284,0.299,0.951747
NAYFGBY 3x120   6.00 kV,6,0.243,50,0.255,0.096,0.305577,1,1,3.183099
NAYFGBY 3x150   6.00 kV,6,0.274,50,0.208,0.093,0.296028,1,1,3.183099
NAYFGBY 3x185   6.00 kV,6,0.31,50,0.167,0.091,0.289662,1,1,3.183099
NAYFGBY 3x240   6.00 kV,6,0.361,50,0.129,0.088,0.280113,1,1,3.183099
NAYFGBY 3x300   6.00 kV,6,0.408,50,0.105,0.086,0.273747,1,1,3.183099
NAYFGBY 3x50   6.00 kV,6,0.145,50,0.643,0.109,0.346958,1,1,3.183099
NAYFGBY 3x70   6.00 kV,6,0.178,50,0.445,0.103,0.327859,1,1,3.183099
NAYFGBY 3x95   6.00 kV,6,0.214,50,0.322,0.099,0.315127,1,1,3.183099
NAYSEY 3x300  10.00 kV,10,0.401,50,0.1,0.087,0.27693,1,1,3.183099
NAYY 4x120   1.00 kV,1,0.242,50,0.255,0.08,0.254648,1.02,0.292,0.929465
NAYY 4x150   1.00 kV,1,0.27,50,0.208,0.08,0.254648,0.832,0.292,0.929465
NAYY 4x185   1.00 kV,1,0.308,50,0.167,0.08,0.254648,0.668,0.292,0.929465
NAYY 4x35   1.00 kV,1,0.118,50,0.876,0.083,0.264197,3.504,0.343,1.091803
NAYY 4x50   1.00 kV,1,0.142,50,0.642,0.083,0.264197,2.568,0.312,0.993127
NAYY 4x70   1.00 kV,1,0.176,50,0.444,0.082,0.261014,1.776,0.3,0.95493
NAYY 4x95   1.00 kV,1,0.211,50,0.321,0.082,0.261014,1.284,0.299,0.951747
NEKEBA 3x120  20.00 kV,20,0.304,50,0.157,0.126,0.40107,1.4,0.25,0.795775
NEKEBA 3x150  20.00 kV,20,0.343,50,0.128,0.122,0.388338,1.3,0.22,0.700282
NEKEBA 3x185  20.00 kV,20,0.388,50,0.103,0.118,0.375606,1.2,0.21,0.668451
NEKEBA 3x240  20.00 kV,20,0.453,50,0.081,0.114,0.362873,1.15,0.2,0.63662
NEKEBA 3x25  20.00 kV,20,0.126,50,0.724,0.161,0.512479,1,1,3.183099
NEKEBA 3x300  20.00 kV,20,0.511,50,0.066,0.111,0.353324,1,1,3.183099
NEKEBA 3x35  20.00 kV,20,0.151,50,0.526,0.153,0.487014,1,1,3.183099
NEKEBA 3x50  20.00 kV,20,0.18,50,0.39,0.146,0.464732,2,0.4,1.27324
NEKEBA 3x70  20.00 kV,20,0.222,50,0.271,0.137,0.436085,1.8,0.35,1.114085
NEKEBA 3x95  20.00 kV,20,0.268,50,0.197,0.131,0.416986,1.6,0.3,0.95493
NKBA 3X 16 10kV E,10,0.09,50,1.12,0.132,0.4201691,1,1,3.183099
