Name,Rated voltage [kV],Rated current [kA],Nominal Frequency,R [Ohm/km AC@20Â°C],X [Ohm/km],L [Ohm/km],R0 (AC) [Ohm/km],X0  [Ohm/km],L0 [mH/km]
NKBA 3X 25 10kV E,10,0.117,50,0.714,0.122,0.3883381,1,1,3.183099
NKBA 3X 25/ 16 1kV-TN,1,0.133,50,0.724,0.092,0.2928451,4.148,0.408,1.298704
NKBA 3X 25/ 16 1kV-TT,1,0.133,50,0.724,0.092,0.2928451,1.672,1.523,4.847859
NKBA 3x120  10.00 kV,10,0.293,50,0.157,0.097,0.308761,2.3,1,3.183099
NKBA 3x120/70   1.00 kV,1,0.32,50,0.157,0.083,0.264197,0.97,0.35,1.114085
NKBA 3x150  10.00 kV,10,0.332,50,0.128,0.094,0.299211,2,1,3.183099
NKBA 3x150/70   1.00 kV,1,0.361,50,0.127,0.084,0.26738,0.927,0.377,1.200028
NKBA 3x185  10.00 kV,10,0.377,50,0.103,0.092,0.292845,1.7,1,3.183099
NKBA 3x185/95   1.00 kV,1,0.41,50,0.103,0.083,0.264197,0.68,0.361,1.149099
NKBA 3x240  10.00 kV,10,0.437,50,0.081,0.089,0.283296,1.4,1,3.183099
NKBA 3x240/120   1.00 kV,1,0.474,50,0.08,0.082,0.261014,0.539,0.361,1.149099
NKBA 3x300  10.00 kV,10,0.493,50,0.067,0.087,0.27693,1,1,3.183099
NKBA 3x300/150   1.00 kV,1,0.533,50,0.066,0.082,0.261014,0.442,0.354,1.126817
NKBA 3x35  10.00 kV,10,0.143,50,0.526,0.115,0.366056,1,1,3.183099
NKBA 3x35/16   1.00 kV,1,0.161,50,0.526,0.09,0.286479,3.95,0.422,1.343268
NKBA 3x50  10.00 kV,10,0.171,50,0.39,0.109,0.346958,3.2,1,3.183099
NKBA 3x50/25   1.00 kV,1,0.191,50,0.389,0.087,0.27693,2.56,0.397,1.26369
NKBA 3x70  10.00 kV,10,0.212,50,0.271,0.104,0.331042,2.9,1,3.183099
NKBA 3x70/35   1.00 kV,1,0.235,50,0.271,0.085,0.270563,1.848,0.383,1.219127
NKBA 3x95  10.00 kV,10,0.257,50,0.196,0.1,0.31831,2.6,1,3.183099
NKBA 3x95/50   1.00 kV,1,0.281,50,0.197,0.084,0.26738,1.369,0.367,1.168197
NKBA 4x120   1.00 kV,1,0.32,50,0.157,0.085,0.270563,0.628,0.299,0.951747
NKBA 4x150   1.00 kV,1,0.361,50,0.125,0.086,0.273747,0.5,0.305,0.970845
NKBA 4x16   1.00 kV,1,0.105,50,1.141,0.099,0.315127,4.564,0.401,1.276423
NKBA 4x185   1.00 kV,1,0.41,50,0.101,0.085,0.270563,0.404,0.298,0.948563
NKBA 4x240   1.00 kV,1,0.474,50,0.077,0.084,0.26738,0.308,0.295,0.939014
NKBA 4x25   1.00 kV,1,0.133,50,0.724,0.094,0.299211,2.896,0.366,1.165014
NKBA 4x300   1.00 kV,1,0.533,50,0.063,0.084,0.26738,0.252,0.289,0.919916
NKBA 4x35   1.00 kV,1,0.161,50,0.526,0.092,0.292845,2.104,0.348,1.107718
NKBA 4x50   1.00 kV,1,0.191,50,0.389,0.09,0.286479,1.556,0.332,1.056789
NKBA 4x70   1.00 kV,1,0.235,50,0.271,0.087,0.27693,1.084,0.318,1.012225
NKBA 4x95   1.00 kV,1,0.281,50,0.197,0.086,0.273747,0.788,0.307,0.977211
NKBA FOR  25.00 kV,25,0.343,50,0.128,0.122,0.388338,0,0,0
NKBA NOR  25.00 kV,25,0.277,50,1,1,3.183099,0,0,0
NYCWY 3x120/70   1.00 kV,1,0.313,50,0.157,0.072,0.229183,0.975,0.122,0.388338
NYCWY 3x150/70   1.00 kV,1,0.353,50,0.127,0.072,0.229183,0.933,0.114,0.362873
NYCWY 3x185/95   1.00 kV,1,0.399,50,0.103,0.072,0.229183,0.694,0.107,0.340592
NYCWY 3x240/120   1.00 kV,1,0.464,50,0.08,0.072,0.229183,0.545,0.104,0.331042
NYCWY 3x25/16   1.00 kV,1,0.128,50,0.724,0.08,0.254648,4.156,0.138,0.439268
NYCWY 3x300/150   1.00 kV,1,0.524,50,0.066,0.072,0.229183,0.447,0.1,0.31831
NYCWY 3x35/16   1.00 kV,1,0.157,50,0.526,0.077,0.245099,3.95,0.128,0.407437
NYCWY 3x50/25   1.00 kV,1,0.185,50,0.389,0.077,0.245099,2.56,0.12,0.381972
NYCWY 3x70/35   1.00 kV,1,0.228,50,0.271,0.074,0.235549,1.859,0.122,0.388338
NYCWY 3x95/50   1.00 kV,1,0.275,50,0.197,0.074,0.235549,1.373,0.122,0.388338
NYCWY 4x1.5/1.5   1.00 kV,1,0.026,50,12.1,0.115,0.366056,48.4,0.459,1.461042
NYCWY 4x10/10   1.00 kV,1,0.075,50,1.81,0.094,0.299211,7.24,0.378,1.203211
NYCWY 4x120/70   1.00 kV,1,0.313,50,0.157,0.08,0.254648,0.628,0.292,0.929465
NYCWY 4x150/70   1.00 kV,1,0.353,50,0.125,0.08,0.254648,0.5,0.292,0.929465
NYCWY 4x16/16   1.00 kV,1,0.098,50,1.141,0.09,0.286479,4.564,0.358,1.139549
NYCWY 4x185/95   1.00 kV,1,0.399,50,0.101,0.08,0.254648,0.404,0.292,0.929465
NYCWY 4x2.5/2.5   1.00 kV,1,0.034,50,7.28,0.11,0.350141,29.12,0.441,1.403747
NYCWY 4x240/120   1.00 kV,1,0.464,50,0.077,0.079,0.251465,0.308,0.29,0.923099
NYCWY 4x25/16   1.00 kV,1,0.128,50,0.724,0.086,0.273747,2.896,0.355,1.13
NYCWY 4x300/150   1.00 kV,1,0.524,50,0.063,0.079,0.251465,0.252,0.289,0.919916
NYCWY 4x35/16   1.00 kV,1,0.157,50,0.526,0.083,0.264197,2.104,0.314,0.999493
NYCWY 4x4/4   1.00 kV,1,0.044,50,4.56,0.107,0.340592,18.24,0.426,1.356
NYCWY 4x50/25   1.00 kV,1,0.185,50,0.389,0.083,0.264197,1.556,0.312,0.993127
NYCWY 4x6/6   1.00 kV,1,0.056,50,3.03,0.1,0.31831,12.12,0.403,1.282789
NYCWY 4x70/35   1.00 kV,1,0.228,50,0.271,0.082,0.261014,1.084,0.3,0.95493
NYCWY 4x95/50   1.00 kV,1,0.275,50,0.197,0.082,0.261014,0.788,0.299,0.951747
NYFGBY 3x120   6.00 kV,6,0.313,50,0.156,0.096,0.305577,1,1,3.183099
NYFGBY 3x150   6.00 kV,6,0.352,50,0.128,0.093,0.296028,1,1,3.183099
NYFGBY 3x185   6.00 kV,6,0.397,50,0.102,0.091,0.289662,1,1,3.183099
NYFGBY 3x240   6.00 kV,6,0.46,50,0.08,0.088,0.280113,1,1,3.183099
NYFGBY 3x25   6.00 kV,6,0.126,50,0.724,0.12,0.381972,1,1,3.183099
NYFGBY 3x300   6.00 kV,6,0.518,50,0.066,0.086,0.273747,1,1,3.183099
NYFGBY 3x35   6.00 kV,6,0.158,50,0.525,0.114,0.362873,1,1,3.183099
NYFGBY 3x50   6.00 kV,6,0.187,50,0.389,0.109,0.346958,1,1,3.183099
NYFGBY 3x70   6.00 kV,6,0.23,50,0.27,0.103,0.327859,1,1,3.183099
NYFGBY 3x95   6.00 kV,6,0.275,50,0.195,0.099,0.315127,1,1,3.183099
NYSEY 3x120   6.00 kV,6,0.284,50,0.153,0.09891,0.31484,1,1,3.183099
NYSEY 3x120  10.00 kV,10,0.312,50,0.155,0.099,0.315127,1,1,3.183099
NYSEY 3x150   6.00 kV,6,0.322,50,0.124,0.09577,0.304845,1,1,3.183099
NYSEY 3x150  10.00 kV,10,0.35,50,0.127,0.096,0.305577,1,1,3.183099
NYSEY 3x185   6.00 kV,6,0.368,50,0.0991,0.09294,0.295837,1,1,3.183099
NYSEY 3x185  10.00 kV,10,0.394,50,0.101,0.093,0.296028,1,1,3.183099
NYSEY 3x240   6.00 kV,6,0.43,50,0.0754,0.08918,0.283869,1,1,3.183099
NYSEY 3x240  10.00 kV,10,0.455,50,0.079,0.089,0.283296,1,1,3.183099
NYSEY 3x25  10.00 kV,10,0.133,50,0.723,0.127,0.404254,1,1,3.183099
NYSEY 3x300   6.00 kV,6,0.49,50,0.0601,0.08698,0.276866,1,1,3.183099
NYSEY 3x300  10.00 kV,10,0.512,50,0.064,0.087,0.27693,1,1,3.183099
NYSEY 3x35   6.00 kV,6,0.137,50,0.524,0.11995,0.381813,1,1,3.183099
NYSEY 3x35  10.00 kV,10,0.16,50,0.525,0.12,0.381972,1,1,3.183099
NYSEY 3x50   6.00 kV,6,0.165,50,0.387,0.11398,0.36281,1,1,3.183099
NYSEY 3x50  10.00 kV,10,0.189,50,0.388,0.114,0.362873,1,1,3.183099
NYSEY 3x70   6.00 kV,6,0.204,50,0.268,0.10739,0.341833,1,1,3.183099
NYSEY 3x70  10.00 kV,10,0.23,50,0.269,0.107,0.340592,1,1,3.183099
NYSEY 3x95   6.00 kV,6,0.248,50,0.193,0.10236,0.325822,1,1,3.183099
NYSEY 3x95  10.00 kV,10,0.275,50,0.194,0.102,0.324676,1,1,3.183099
NYY 3x120/70   1.00 kV,1,0.313,50,0.154,0.078,0.248282,0.96,0.347,1.104535
NYY 3x150/70   1.00 kV,1,0.353,50,0.126,0.077,0.245099,0.939,0.362,1.152282
NYY 3x185/95   1.00 kV,1,0.399,50,0.101,0.077,0.245099,0.683,0.356,1.133183
NYY 3x240/120   1.00 kV,1,0.464,50,0.078,0.076,0.241916,0.54,0.351,1.117268
NYY 3x25/16   1.00 kV,1,0.128,50,0.722,0.084,0.26738,4.144,0.395,1.257324
NYY 3x300/150   1.00 kV,1,0.524,50,0.063,0.076,0.241916,0.44,0.35,1.114085
NYY 3x35/16   1.00 kV,1,0.157,50,0.524,0.08,0.254648,3.945,0.378,1.203211
NYY 3x50/25   1.00 kV,1,0.185,50,0.388,0.082,0.261014,2.56,0.377,1.200028
NYY 3x70/35   1.00 kV,1,0.228,50,0.268,0.077,0.245099,1.832,0.353,1.123634
NYY 3x95/50   1.00 kV,1,0.275,50,0.194,0.079,0.251465,1.354,0.359,1.142733
NYY 4x1.5   1.00 kV,1,0.026,50,12.1,0.115,0.366056,48.4,0.459,1.461042
NYY 4x10   1.00 kV,1,0.075,50,1.81,0.094,0.299211,7.24,0.378,1.203211
NYY 4x120   1.00 kV,1,0.313,50,0.157,0.08,0.254648,0.628,0.292,0.929465
NYY 4x150   1.00 kV,1,0.353,50,0.125,0.08,0.254648,0.5,0.292,0.929465
NYY 4x16   1.00 kV,1,0.098,50,1.141,0.09,0.286479,4.564,0.358,1.139549
NYY 4x185   1.00 kV,1,0.399,50,0.101,0.08,0.254648,0.404,0.292,0.929465
NYY 4x2.5   1.00 kV,1,0.034,50,7.28,0.11,0.350141,29.12,0.441,1.403747
NYY 4x240   1.00 kV,1,0.464,50,0.077,0.079,0.251465,0.308,0.29,0.923099
NYY 4x25   1.00 kV,1,0.128,50,0.724,0.086,0.273747,2.896,0.355,1.13
NYY 4x300   1.00 kV,1,0.524,50,0.063,0.079,0.251465,0.252,0.289,0.919916
NYY 4x35   1.00 kV,1,0.157,50,0.526,0.083,0.264197,2.104,0.314,0.999493
NYY 4x4   1.00 kV,1,0.044,50,4.56,0.107,0.340592,18.24,0.426,1.356
NYY 4x50   1.00 kV,1,0.185,50,0.389,0.083,0.264197,1.556,0.312,0.993127
NYY 4x6   1.00 kV,1,0.056,50,3.03,0.1,0.31831,12.12,0.403,1.282789
NYY 4x70   1.00 kV,1,0.228,50,0.271,0.082,0.261014,1.084,0.3,0.95493
NYY 4x95   1.00 kV,1,0.275,50,0.197,0.082,0.261014,0.788,0.299,0.951747
PILC-AL 1x120   1.00 kV,1,0.305,50,0.253,0.09,0.286479,1,1,3.183099
PILC-AL 1x150   1.00 kV,1,0.35,50,0.206,0.088,0.280113,1,1,3.183099
PILC-AL 1x185   1.00 kV,1,0.405,50,0.164,0.086,0.273747,1,1,3.183099
PILC-AL 1x240   1.00 kV,1,0.485,50,0.125,0.084,0.26738,1,1,3.183099
PILC-AL 1x300   1.00 kV,1,0.56,50,0.1,0.083,0.264197,1,1,3.183099
PILC-AL 1x50   1.00 kV,1,0.165,50,0.641,0.107,0.340592,1,1,3.183099
PILC-AL 1x70   1.00 kV,1,0.21,50,0.443,0.097,0.308761,1,1,3.183099
PILC-AL 1x95   1.00 kV,1,0.26,50,0.32,0.093,0.296028,1,1,3.183099
PILC-AL 3x120   1.00 kV,1,0.255,50,0.253,0.068,0.216451,1,1,3.183099
PILC-AL 3x120  11.00 kV,11,0.22,50,0.253,0.083,0.264197,1,1,3.183099
PILC-AL 3x150   1.00 kV,1,0.29,50,0.206,0.069,0.219634,1,1,3.183099
PILC-AL 3x150  11.00 kV,11,0.245,50,0.206,0.082,0.261014,1,1,3.183099
PILC-AL 3x185   1.00 kV,1,0.335,50,0.164,0.068,0.216451,1,1,3.183099
PILC-AL 3x185  11.00 kV,11,0.28,50,0.164,0.08,0.254648,1,1,3.183099
PILC-AL 3x240   1.00 kV,1,0.4,50,0.125,0.068,0.216451,1,1,3.183099
PILC-AL 3x240  11.00 kV,11,0.325,50,0.125,0.078,0.248282,1,1,3.183099
PILC-AL 3x25   1.00 kV,1,0.093,50,1.2,0.076,0.241916,1,1,3.183099
PILC-AL 3x25  11.00 kV,11,0.089,50,1.2,0.105,0.334225,1,1,3.183099
PILC-AL 3x300   1.00 kV,1,0.46,50,0.1,0.067,0.213268,1,1,3.183099
PILC-AL 3x300  11.00 kV,11,0.365,50,0.1,0.076,0.241916,1,1,3.183099
PILC-AL 3x35   1.00 kV,1,0.115,50,0.868,0.074,0.235549,1,1,3.183099
PILC-AL 3x35  11.00 kV,11,0.11,50,0.868,0.098,0.311944,1,1,3.183099
PILC-AL 3x50   1.00 kV,1,0.14,50,0.641,0.083,0.264197,1,1,3.183099
PILC-AL 3x50  11.00 kV,11,0.13,50,0.641,0.094,0.299211,1,1,3.183099
PILC-AL 3x70   1.00 kV,1,0.175,50,0.443,0.071,0.226,1,1,3.183099
PILC-AL 3x70  11.00 kV,11,0.16,50,0.443,0.09,0.286479,1,1,3.183099
PILC-AL 3x95   1.00 kV,1,0.22,50,0.32,0.069,0.219634,1,1,3.183099
PILC-AL 3x95  11.00 kV,11,0.19,50,0.32,0.086,0.273747,1,1,3.183099
PILC-CU 1x120   1.00 kV,1,0.305,50,0.153,0.09,0.286479,1,1,3.183099
PILC-CU 1x150   1.00 kV,1,0.35,50,0.124,0.088,0.280113,1,1,3.183099
PILC-CU 1x185   1.00 kV,1,0.405,50,0.0991,0.086,0.273747,1,1,3.183099
PILC-CU 1x240   1.00 kV,1,0.485,50,0.0754,0.084,0.26738,1,1,3.183099
PILC-CU 1x300   1.00 kV,1,0.56,50,0.0601,0.083,0.264197,1,1,3.183099
PILC-CU 1x400   1.00 kV,1,0.65,50,0.047,0.081,0.257831,1,1,3.183099
PILC-CU 1x50   1.00 kV,1,0.165,50,0.387,0.102,0.324676,1,1,3.183099
PILC-CU 1x70   1.00 kV,1,0.21,50,0.268,0.097,0.308761,1,1,3.183099
PILC-CU 1x95   1.00 kV,1,0.26,50,0.193,0.093,0.296028,1,1,3.183099
PILC-CU 3x120   1.00 kV,1,0.325,50,0.153,0.068,0.216451,1,1,3.183099
PILC-CU 3x120  11.00 kV,11,0.28,50,0.153,0.083,0.264197,1,1,3.183099
PILC-CU 3x150   1.00 kV,1,0.375,50,0.124,0.069,0.219634,1,1,3.183099
PILC-CU 3x150  11.00 kV,11,0.315,50,0.124,0.082,0.261014,1,1,3.183099
PILC-CU 3x185   1.00 kV,1,0.43,50,0.0991,0.068,0.216451,1,1,3.183099
PILC-CU 3x185  11.00 kV,11,0.355,50,0.0991,0.08,0.254648,1,1,3.183099
PILC-CU 3x240   1.00 kV,1,0.51,50,0.0754,0.068,0.216451,1,1,3.183099
PILC-CU 3x240  11.00 kV,11,0.41,50,0.0754,0.078,0.248282,1,1,3.183099
PILC-CU 3x25   1.00 kV,1,0.12,50,0.727,0.076,0.241916,1,1,3.183099
PILC-CU 3x25  11.00 kV,11,0.115,50,0.727,0.105,0.334225,1,1,3.183099
PILC-CU 3x300   1.00 kV,1,0.59,50,0.0601,0.067,0.213268,1,1,3.183099
PILC-CU 3x300  11.00 kV,11,0.46,50,0.0601,0.076,0.241916,1,1,3.183099
PILC-CU 3x35   1.00 kV,1,0.15,50,0.524,0.074,0.235549,1,1,3.183099
PILC-CU 3x35  11.00 kV,11,0.14,50,0.524,0.098,0.311944,1,1,3.183099
PILC-CU 3x400   1.00 kV,1,0.68,50,0.047,0.067,0.213268,1,1,3.183099
PILC-CU 3x400  11.00 kV,11,0.52,50,0.047,0.075,0.238732,1,1,3.183099
PILC-CU 3x50   1.00 kV,1,0.18,50,0.387,0.073,0.232366,1,1,3.183099
PILC-CU 3x50  11.00 kV,11,0.165,50,0.387,0.094,0.299211,1,1,3.183099
PILC-CU 3x70   1.00 kV,1,0.23,50,0.268,0.071,0.226,1,1,3.183099
PILC-CU 3x70  11.00 kV,11,0.205,50,0.268,0.09,0.286479,1,1,3.183099
PILC-CU 3x95   1.00 kV,1,0.28,50,0.193,0.069,0.219634,1,1,3.183099
PILC-CU 3x95  11.00 kV,11,0.245,50,0.193,0.086,0.273747,1,1,3.183099
PVC-SWA-AL 2x16   1.00 kV,1,0.071,50,1.89,0.086,0.273747,1,1,3.183099
PVC-SWA-AL 2x25   1.00 kV,1,0.094,50,1.2,0.085,0.270563,1,1,3.183099
PVC-SWA-AL 2x35   1.00 kV,1,0.115,50,0.868,0.082,0.261014,1,1,3.183099
PVC-SWA-AL 2x50   1.00 kV,1,0.139,50,0.641,0.082,0.261014,1,1,3.183099
PVC-SWA-AL 2x70   1.00 kV,1,0.175,50,0.443,0.079,0.251465,1,1,3.183099
PVC-SWA-AL 2x95   1.00 kV,1,0.211,50,0.32,0.078,0.248282,1,1,3.183099
PVC-SWA-AL 3x120   1.00 kV,1,0.216,50,0.253,0.077,0.245099,1,1,3.183099
PVC-SWA-AL 3x150   1.00 kV,1,0.25,50,0.206,0.077,0.245099,1,1,3.183099
PVC-SWA-AL 3x16   1.00 kV,1,0.061,50,1.89,0.086,0.273747,1,1,3.183099
PVC-SWA-AL 3x185   1.00 kV,1,0.287,50,0.164,0.077,0.245099,1,1,3.183099
PVC-SWA-AL 3x240   1.00 kV,1,0.342,50,0.125,0.076,0.241916,1,1,3.183099
PVC-SWA-AL 3x25   1.00 kV,1,0.08,50,1.2,0.085,0.270563,1,1,3.183099
PVC-SWA-AL 3x300   1.00 kV,1,0.399,50,0.1,0.076,0.241916,1,1,3.183099
PVC-SWA-AL 3x35   1.00 kV,1,0.99,50,0.868,0.082,0.261014,1,1,3.183099
PVC-SWA-AL 3x50   1.00 kV,1,0.119,50,0.641,0.082,0.261014,1,1,3.183099
PVC-SWA-AL 3x70   1.00 kV,1,0.151,50,0.443,0.079,0.251465,1,1,3.183099
PVC-SWA-AL 3x95   1.00 kV,1,0.186,50,0.32,0.078,0.248282,1,1,3.183099
PVC-SWA-CU 1x120   1.00 kV,1,0.383,50,0.153,0.099,0.315127,1,1,3.183099
PVC-SWA-CU 1x150   1.00 kV,1,0.436,50,0.124,0.097,0.308761,1,1,3.183099
PVC-SWA-CU 1x185   1.00 kV,1,0.49,50,0.0991,0.095,0.302394,1,1,3.183099
PVC-SWA-CU 1x240   1.00 kV,1,0.566,50,0.0754,0.093,0.296028,1,1,3.183099
PVC-SWA-CU 1x300   1.00 kV,1,0.616,50,0.0601,0.091,0.289662,1,1,3.183099
PVC-SWA-CU 1x400   1.00 kV,1,0.674,50,0.047,0.091,0.289662,1,1,3.183099
PVC-SWA-CU 1x50   1.00 kV,1,0.23,50,0.387,0.109,0.346958,1,1,3.183099
PVC-SWA-CU 1x70   1.00 kV,1,0.286,50,0.268,0.104,0.331042,1,1,3.183099
PVC-SWA-CU 1x95   1.00 kV,1,0.338,50,0.0193,0.1,0.31831,1,1,3.183099
PVC-SWA-CU 2x120   1.00 kV,1,0.335,50,0.153,0.076,0.241916,1,1,3.183099
PVC-SWA-CU 2x150   1.00 kV,1,0.38,50,0.124,0.076,0.241916,1,1,3.183099
PVC-SWA-CU 2x16   1.00 kV,1,0.097,50,1.15,0.088,0.280113,1,1,3.183099
PVC-SWA-CU 2x185   1.00 kV,1,0.44,50,0.0991,0.076,0.241916,1,1,3.183099
PVC-SWA-CU 2x240   1.00 kV,1,0.52,50,0.0754,0.075,0.238732,1,1,3.183099
PVC-SWA-CU 2x25   1.00 kV,1,0.13,50,0.727,0.083,0.264197,1,1,3.183099
PVC-SWA-CU 2x300   1.00 kV,1,0.59,50,0.0601,0.075,0.238732,1,1,3.183099
PVC-SWA-CU 2x35   1.00 kV,1,0.16,50,0.524,0.081,0.257831,1,1,3.183099
PVC-SWA-CU 2x400   1.00 kV,1,0.67,50,0.047,0.074,0.235549,1,1,3.183099
PVC-SWA-CU 2x50   1.00 kV,1,0.19,50,0.387,0.081,0.257831,1,1,3.183099
PVC-SWA-CU 2x70   1.00 kV,1,0.235,50,0.268,0.079,0.251465,1,1,3.183099
PVC-SWA-CU 2x95   1.00 kV,1,0.29,50,0.193,0.077,0.245099,1,1,3.183099
PVC-SWA-CU 3x120   1.00 kV,1,0.29,50,0.153,0.076,0.241916,1,1,3.183099
PVC-SWA-CU 3x150   1.00 kV,1,0.335,50,0.124,0.076,0.241916,1,1,3.183099
PVC-SWA-CU 3x16   1.00 kV,1,0.083,50,1.15,0.088,0.280113,1,1,3.183099
PVC-SWA-CU 3x185   1.00 kV,1,0.38,50,0.0991,0.076,0.241916,1,1,3.183099
PVC-SWA-CU 3x240   1.00 kV,1,0.45,50,0.0754,0.075,0.238732,1,1,3.183099
PVC-SWA-CU 3x25   1.00 kV,1,0.11,50,0.727,0.083,0.264197,1,1,3.183099
PVC-SWA-CU 3x300   1.00 kV,1,0.51,50,0.0601,0.075,0.238732,1,1,3.183099
PVC-SWA-CU 3x35   1.00 kV,1,0.135,50,0.524,0.081,0.257831,1,1,3.183099
PVC-SWA-CU 3x400   1.00 kV,1,0.59,50,0.047,0.074,0.235549,1,1,3.183099
PVC-SWA-CU 3x50   1.00 kV,1,0.165,50,0.387,0.081,0.257831,1,1,3.183099
PVC-SWA-CU 3x70   1.00 kV,1,0.205,50,0.268,0.079,0.251465,1,1,3.183099
PVC-SWA-CU 3x95   1.00 kV,1,0.25,50,0.193,0.077,0.245099,1,1,3.183099
XHIV 1x185  20.00 kV,20,0.4,50,0.1,0.12085,0.384677,1,1,3.183099
XLPE-CU 3x120  11.00 kV,11,0.335,50,0.153,0.097,0.308761,1,1,3.183099
XLPE-CU 3x150  11.00 kV,11,0.375,50,0.124,0.094,0.299211,1,1,3.183099
XLPE-CU 3x185  11.00 kV,11,0.42,50,0.0991,0.092,0.292845,1,1,3.183099
XLPE-CU 3x240  11.00 kV,11,0.485,50,0.0754,0.089,0.283296,1,1,3.183099
XLPE-CU 3x25  11.00 kV,11,0.145,50,0.727,0.124,0.394704,1,1,3.183099
XLPE-CU 3x300  11.00 kV,11,0.54,50,0.0601,0.086,0.273747,1,1,3.183099
XLPE-CU 3x35  11.00 kV,11,0.17,50,0.524,0.116,0.369239,1,1,3.183099
XLPE-CU 3x50  11.00 kV,11,0.205,50,0.387,0.111,0.353324,1,1,3.183099
XLPE-CU 3x70  11.00 kV,11,0.245,50,0.268,0.106,0.337408,1,1,3.183099
XLPE-CU 3x95  11.00 kV,11,0.295,50,0.193,0.1,0.31831,1,1,3.183099
ZEBRA 1x300 150.00 kV,150,0.5,50,0.06079,0.4178,1.329899,1,1,3.183099
