Name,Rate (MVA),Frequency (Hz),HV (kV),LV (kV),Copper losses (kW),No load losses (kW),No load current (%),V short circuit (%),HV vector group,LV vector group,Phase shift (*30ยบ)
2.5 MVA 10/0.4 kV Yyn6 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,Y,YN,6
2.5 MVA 10/0.4 kV Yyn6 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,Y,YN,6
2.5 MVA 10/0.4 kV Yyn0 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,Y,YN,0
2.5 MVA 10/0.4 kV Yyn0 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,Y,YN,0
2.5 MVA 10/0.4 kV Trafo Union wnr,2.5,50,10,0.4,18,3.2,0.128,8,D,YN,5
2.5 MVA 10/0.4 kV Trafo Union,2.5,50,10,0.4,17.5,3.75,0.15,8,D,YN,5
2.5 MVA 10/0.4 kV Dyn7 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,7
2.5 MVA 10/0.4 kV Dyn7 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,7
2.5 MVA 10/0.4 kV Dyn5 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,5
2.5 MVA 10/0.4 kV Dyn5 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,5
2.5 MVA 10/0.4 kV Dyn11 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,11
2.5 MVA 10/0.4 kV Dyn11 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,11
2.5 MVA 10/0.4 kV Dyn1 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,1
2.5 MVA 10/0.4 kV Dyn1 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,1
2.5 MVA 10/0.4 kV DTTHL SGB,2.5,50,10,0.4,18,3.15,0.12601,6,D,YN,5
2.5 MVA 10/0.4 kV DTTHIL  SGB,2.5,50,10,0.4,13.9,3.35,0.13401,6,D,YN,5
2.5 MVA 10/0.4 kV DTTH  SGB,2.5,50,10,0.4,18.5,4.2,0.16801,6,D,YN,5
2.5 MVA 10/0.4 kV DOTEL 2500/10  SGB,2.5,50,10,0.4,25,2.5,0.10001,6,Y,ZN,5
2.5 MVA 10/0.4 kV DOTE 2500/10  SGB,2.5,50,10,0.4,25,3.5,0.14001,6,Y,ZN,5
2.5 MVA 10/0.4 kV 4.8 GEAFOL,2.5,50,10,0.4,15.5,4.8,0.192,6,D,YN,5
2.5 MVA 10/0.4 kV 3.3 GEAFOL,2.5,50,10,0.4,19,3.3,0.132,6,D,YN,5
2 MVA 10/0.4 kV Yyn6 wnr ASEA,2,50,10,0.4,15.5,2.75,0.13751,6,Y,YN,6
2 MVA 10/0.4 kV Yyn6 ASEA,2,50,10,0.4,15.5,3.5,0.17501,6,Y,YN,6
2 MVA 10/0.4 kV Yyn0 wnr ASEA,2,50,10,0.4,15.5,2.75,0.13751,6,Y,YN,0
2 MVA 10/0.4 kV Yyn0 ASEA,2,50,10,0.4,15.5,3.5,0.17501,6,Y,YN,0
2 MVA 10/0.4 kV Trafo Union wnr,2,50,10,0.4,15.5,2.95,0.1475,8,D,YN,5
2 MVA 10/0.4 kV Trafo Union,2,50,10,0.4,15,3.45,0.1725,8,D,YN,5
2 MVA 10/0.4 kV Dyn7 wnr ASEA,2,50,10,0.4,15.5,2.75,0.13751,6,D,YN,7
2 MVA 10/0.4 kV Dyn7 ASEA,2,50,10,0.4,15.5,3.5,0.17501,6,D,YN,7
2 MVA 10/0.4 kV Dyn5 wnr ASEA,2,50,10,0.4,15.5,2.75,0.13751,6,D,YN,5
2 MVA 10/0.4 kV Dyn5 ASEA,2,50,10,0.4,15.5,3.5,0.17501,6,D,YN,5
2 MVA 10/0.4 kV Dyn11 wnr ASEA,2,50,10,0.4,15.5,2.75,0.13751,6,D,YN,11
2 MVA 10/0.4 kV Dyn11 ASEA,2,50,10,0.4,15.5,3.5,0.17501,6,D,YN,11
2 MVA 10/0.4 kV Dyn1 wnr ASEA,2,50,10,0.4,15.5,2.75,0.13751,6,D,YN,1
2 MVA 10/0.4 kV Dyn1 ASEA,2,50,10,0.4,15.5,3.5,0.17501,6,D,YN,1
2 MVA 10/0.4 kV DTTHL SGB,2,50,10,0.4,15.3,2.7,0.13501,6,D,YN,5
2 MVA 10/0.4 kV DTTHIL  SGB,2,50,10,0.4,12,2.85,0.14251,6,D,YN,5
2 MVA 10/0.4 kV DTTH  SGB,2,50,10,0.4,16.7,3.5,0.17501,6,D,YN,5
2 MVA 10/0.4 kV DOTEL 2000/10  SGB,2,50,10,0.4,21.5,2.1,0.10501,6,Y,ZN,5
2 MVA 10/0.4 kV DOTE 2000/10  SGB,2,50,10,0.4,21.5,2.9,0.14501,6,Y,ZN,5
2 MVA 10/0.4 kV 3.9 GEAFOL,2,50,10,0.4,12.7,3.9,0.195,6,D,YN,5
2 MVA 10/0.4 kV 2.8 GEAFOL,2,50,10,0.4,13,2.8,0.14,6,D,YN,5
1.6 MVA 10/0.4 kV Yyn6 wnr ASEA,1.6,50,10,0.4,12.7,2.2,0.13751,6,Y,YN,6
1.6 MVA 10/0.4 kV Yyn6 ASEA,1.6,50,10,0.4,12.7,2.8,0.17501,6,Y,YN,6
1.6 MVA 10/0.4 kV Yyn0 wnr ASEA,1.6,50,10,0.4,12.7,2.2,0.13751,6,Y,YN,0
1.6 MVA 10/0.4 kV Yyn0 ASEA,1.6,50,10,0.4,12.7,2.8,0.17501,6,Y,YN,0
1.6 MVA 10/0.4 kV Trafo Union wnr,1.6,50,10,0.4,13,2.2,0.1375,6,D,YN,5
1.6 MVA 10/0.4 kV Trafo Union,1.6,50,10,0.4,12.5,2.7,0.16875,6,D,YN,5
1.6 MVA 10/0.4 kV Dyn7 wnr ASEA,1.6,50,10,0.4,12.7,2.2,0.13751,6,D,YN,7
1.6 MVA 10/0.4 kV Dyn7 ASEA,1.6,50,10,0.4,12.7,2.8,0.17501,6,D,YN,7
1.6 MVA 10/0.4 kV Dyn5 wnr ASEA,1.6,50,10,0.4,12.7,2.2,0.13751,6,D,YN,5
1.6 MVA 10/0.4 kV Dyn5 ASEA,1.6,50,10,0.4,12.7,2.8,0.17501,6,D,YN,5
1.6 MVA 10/0.4 kV Dyn11 wnr ASEA,1.6,50,10,0.4,12.7,2.2,0.13751,6,D,YN,11
1.6 MVA 10/0.4 kV Dyn11 ASEA,1.6,50,10,0.4,12.7,2.8,0.17501,6,D,YN,11
1.6 MVA 10/0.4 kV Dyn1 wnr ASEA,1.6,50,10,0.4,12.7,2.2,0.13751,6,D,YN,1
1.6 MVA 10/0.4 kV Dyn1 ASEA,1.6,50,10,0.4,12.7,2.8,0.17501,6,D,YN,1
1.6 MVA 10/0.4 kV DTTHL SGB,1.6,50,10,0.4,11.8,2.07,0.129385,6,D,YN,5
1.6 MVA 10/0.4 kV DTTHIL  SGB,1.6,50,10,0.4,8.8,2.3,0.14376,6,D,YN,5
1.6 MVA 10/0.4 kV DTTH  SGB,1.6,50,10,0.4,12.5,2.65,0.165635,6,D,YN,5
1.6 MVA 10/0.4 kV DTKa SGB,1.6,50,10,0.4,13,2.8,0.17501,6,Y,ZN,5
1.6 MVA 10/0.4 kV DT 1600/10 F SGB,1.6,50,10,0.4,12.5,2.8,0.17501,6,Y,ZN,5
1.6 MVA 10/0.4 kV DOTEL 1600/10  SGB,1.6,50,10,0.4,17,1.6,0.10001,6,Y,ZN,5
1.6 MVA 10/0.4 kV DOTE 1600/10  SGB,1.6,50,10,0.4,17,2.2,0.13751,6,Y,ZN,5
1.6 MVA 10/0.4 kV 2.8 GEAFOL,1.6,50,10,0.4,10.5,2.8,0.175,6,D,YN,5
1.6 MVA 10/0.4 kV 2.18 GEAFOL,1.6,50,10,0.4,10.9,2.18,0.13625,6,D,YN,5
1.25 MVA 10/0.4 kV Yyn6 wnr ASEA,1.25,50,10,0.4,10.5,1.88,0.15041,6,Y,YN,6
1.25 MVA 10/0.4 kV Yyn6 ASEA,1.25,50,10,0.4,10.5,2.4,0.19201,6,Y,YN,6
1.25 MVA 10/0.4 kV Yyn0 wnr ASEA,1.25,50,10,0.4,10.5,1.88,0.15041,6,Y,YN,0
1.25 MVA 10/0.4 kV Yyn0 ASEA,1.25,50,10,0.4,10.5,2.4,0.19201,6,Y,YN,0
1.25 MVA 10/0.4 kV Trafo Union wnr,1.25,50,10,0.4,10.7,1.95,0.156,6,D,YN,5
1.25 MVA 10/0.4 kV Trafo Union,1.25,50,10,0.4,10.2,2.4,0.192,6,D,YN,5
1.25 MVA 10/0.4 kV Dyn7 wnr ASEA,1.25,50,10,0.4,10.5,1.88,0.15041,6,D,YN,7
1.25 MVA 10/0.4 kV Dyn7 ASEA,1.25,50,10,0.4,10.5,2.4,0.19201,6,D,YN,7
1.25 MVA 10/0.4 kV Dyn5 wnr ASEA,1.25,50,10,0.4,10.5,1.88,0.15041,6,D,YN,5
1.25 MVA 10/0.4 kV Dyn5 ASEA,1.25,50,10,0.4,10.5,2.4,0.19201,6,D,YN,5
1.25 MVA 10/0.4 kV Dyn11 wnr ASEA,1.25,50,10,0.4,10.5,1.88,0.15041,6,D,YN,11
1.25 MVA 10/0.4 kV Dyn11 ASEA,1.25,50,10,0.4,10.5,2.4,0.19201,6,D,YN,11
1.25 MVA 10/0.4 kV Dyn1 wnr ASEA,1.25,50,10,0.4,10.5,1.88,0.15041,6,D,YN,1
1.25 MVA 10/0.4 kV Dyn1 ASEA,1.25,50,10,0.4,10.5,2.4,0.19201,6,D,YN,1
1.25 MVA 10/0.4 kV DTTHL SGB,1.25,50,10,0.4,10.5,1.75,0.14001,6,D,YN,5
1.25 MVA 10/0.4 kV DTTHIL  SGB,1.25,50,10,0.4,7.5,1.9,0.15201,6,D,YN,5
1.25 MVA 10/0.4 kV DTTH  SGB,1.25,50,10,0.4,10.9,2.25,0.18001,6,D,YN,5
1.25 MVA 10/0.4 kV DT 1250/10 F SGB,1.25,50,10,0.4,11,2.3,0.18401,6,Y,ZN,5
1.25 MVA 10/0.4 kV DOTEL 1250/10  SGB,1.25,50,10,0.4,13.5,1.35,0.10801,6,Y,ZN,5
1.25 MVA 10/0.4 kV DOTE 1250/10  SGB,1.25,50,10,0.4,13.5,2,0.16001,6,Y,ZN,5
1.25 MVA 10/0.4 kV 2.4 GEAFOL/FC,1.25,50,10,0.4,9.5,2.4,0.192,6,D,YN,5
1.25 MVA 10/0.4 kV 2.4 GEAFOL,1.25,50,10,0.4,8.8,2.4,0.192,6,D,YN,5
1.25 MVA 10/0.4 kV 1.87 GEAFOL,1.25,50,10,0.4,9.1,1.87,0.1496,6,D,YN,5
1 MVA 10/0.4 kV Yyn6 wnr ASEA,1,50,10,0.4,8.8,1.56,0.15601,6,Y,YN,6
1 MVA 10/0.4 kV Yyn6 ASEA,1,50,10,0.4,8.8,2,0.20001,6,Y,YN,6
1 MVA 10/0.4 kV Yyn0 wnr ASEA,1,50,10,0.4,8.8,1.56,0.15601,6,Y,YN,0
1 MVA 10/0.4 kV Yyn0 ASEA,1,50,10,0.4,8.8,2,0.20001,6,Y,YN,0
1 MVA 10/0.4 kV Trafo Union wnr,1,50,10,0.4,8.7,1.5,0.15,6,D,YN,5
1 MVA 10/0.4 kV Trafo Union,1,50,10,0.4,8.3,1.9,0.19,6,D,YN,5
1 MVA 10/0.4 kV Dyn7 wnr ASEA,1,50,10,0.4,8.8,1.56,0.15601,6,D,YN,7
1 MVA 10/0.4 kV Dyn7 ASEA,1,50,10,0.4,8.8,2,0.20001,6,D,YN,7
1 MVA 10/0.4 kV Dyn5 wnr ASEA,1,50,10,0.4,8.8,1.56,0.15601,6,D,YN,5
1 MVA 10/0.4 kV Dyn5 ASEA,1,50,10,0.4,8.8,2,0.20001,6,D,YN,5
1 MVA 10/0.4 kV Dyn11 wnr ASEA,1,50,10,0.4,8.8,1.56,0.15601,6,D,YN,11
1 MVA 10/0.4 kV Dyn11 ASEA,1,50,10,0.4,8.8,2,0.20001,6,D,YN,11
1 MVA 10/0.4 kV Dyn1 wnr ASEA,1,50,10,0.4,8.8,1.56,0.15601,6,D,YN,1
1 MVA 10/0.4 kV Dyn1 ASEA,1,50,10,0.4,8.8,2,0.20001,6,D,YN,1
1 MVA 10/0.4 kV DTTHL SGB,1,50,10,0.4,8.2,1.43,0.14301,6,D,YN,5
1 MVA 10/0.4 kV DTTHIL  SGB,1,50,10,0.4,6.1,1.6,0.16001,6,D,YN,5
1 MVA 10/0.4 kV DTTH  SGB,1,50,10,0.4,8.8,2.05,0.20501,6,D,YN,5
1 MVA 10/0.4 kV DTKa SGB,1,50,10,0.4,8.7,2.1,0.21001,6,Y,ZN,5
1 MVA 10/0.4 kV DT 1000/10 F SGB,1,50,10,0.4,9.5,2,0.20001,6,Y,ZN,5
1 MVA 10/0.4 kV DT 1000   SGB,1,50,10,0.4,8.2,1.7,0.17001,5.5,Y,ZN,5
1 MVA 10/0.4 kV DOTEL 1000/10  SGB,1,50,10,0.4,10.5,1.1,0.11001,6,Y,ZN,5
1 MVA 10/0.4 kV DOTE 1000/10  SGB,1,50,10,0.4,10.5,1.7,0.17001,6,Y,ZN,5
1 MVA 10/0.4 kV 2.1 GEAFOL,1,50,10,0.4,7.5,2.1,0.21,4,D,YN,5
1 MVA 10/0.4 kV 2 GEAFOL/FC,1,50,10,0.4,8,2,0.2,6,D,YN,5
1 MVA 10/0.4 kV 2 GEAFOL,1,50,10,0.4,7.9,2,0.2,6,D,YN,5
1 MVA 10/0.4 kV 1.6 GEAFOL,1,50,10,0.4,9.2,1.6,0.16,4,D,YN,5
1 MVA 10/0.4 kV 1.56 GEAFOL,1,50,10,0.4,8.2,1.56,0.156,6,D,YN,5
0.8 MVA 10/0.4 kV Yyn6 wnr ASEA,0.8,50,10,0.4,7.7,1.33,0.16626,6,Y,YN,6
0.8 MVA 10/0.4 kV Yyn6 ASEA,0.8,50,10,0.4,7.7,1.7,0.21251,6,Y,YN,6
0.8 MVA 10/0.4 kV Yyn0 wnr ASEA,0.8,50,10,0.4,7.7,1.33,0.16626,6,Y,YN,0
0.8 MVA 10/0.4 kV Yyn0 ASEA,0.8,50,10,0.4,7.7,1.7,0.21251,6,Y,YN,0
0.8 MVA 10/0.4 kV Trafo Union wnr,0.8,50,10,0.4,7,1.35,0.16875,6,D,YN,5
0.8 MVA 10/0.4 kV Trafo Union,0.8,50,10,0.4,6.9,1.7,0.2125,6,D,YN,5
0.8 MVA 10/0.4 kV Dyn7 wnr ASEA,0.8,50,10,0.4,7.7,1.33,0.16626,6,D,YN,7
0.8 MVA 10/0.4 kV Dyn7 ASEA,0.8,50,10,0.4,7.7,1.7,0.21251,6,D,YN,7
0.8 MVA 10/0.4 kV Dyn5 wnr ASEA,0.8,50,10,0.4,7.7,1.33,0.16626,6,D,YN,5
0.8 MVA 10/0.4 kV Dyn5 ASEA,0.8,50,10,0.4,7.7,1.7,0.21251,6,D,YN,5
0.8 MVA 10/0.4 kV Dyn11 wnr ASEA,0.8,50,10,0.4,7.7,1.33,0.16626,6,D,YN,11
0.8 MVA 10/0.4 kV Dyn11 ASEA,0.8,50,10,0.4,7.7,1.7,0.21251,6,D,YN,11
0.8 MVA 10/0.4 kV Dyn1 wnr ASEA,0.8,50,10,0.4,7.7,1.33,0.16626,6,D,YN,1
0.8 MVA 10/0.4 kV Dyn1 ASEA,0.8,50,10,0.4,7.7,1.7,0.21251,6,D,YN,1
0.8 MVA 10/0.4 kV DTTHL SGB,0.8,50,10,0.4,7,1.3,0.16251,6,D,YN,5
0.8 MVA 10/0.4 kV DTTHIL SGB,0.8,50,10,0.4,5,1.45,0.18126,6,D,YN,5
0.8 MVA 10/0.4 kV DTTH  SGB,0.8,50,10,0.4,7.5,1.65,0.20626,6,D,YN,5
0.8 MVA 10/0.4 kV DT 800/10 F SGB,0.8,50,10,0.4,7.8,1.7,0.21251,6,Y,ZN,5
0.8 MVA 10/0.4 kV DOTEL 800/10  SGB,0.8,50,10,0.4,8.5,0.98,0.12251,6,Y,ZN,5
0.8 MVA 10/0.4 kV DOTE 800/10  SGB,0.8,50,10,0.4,8.5,1.5,0.18751,6,Y,ZN,5
0.8 MVA 10/0.4 kV 1.8 GEAFOL,0.8,50,10,0.4,6.6,1.8,0.225,4,D,YN,5
0.8 MVA 10/0.4 kV 1.7 GEAFOL/FC,0.8,50,10,0.4,6.8,1.7,0.2125,6,D,YN,5
0.8 MVA 10/0.4 kV 1.7 GEAFOL,0.8,50,10,0.4,6.6,1.7,0.2125,6,D,YN,5
0.8 MVA 10/0.4 kV 1.4 GEAFOL,0.8,50,10,0.4,7.7,1.4,0.175,4,D,YN,5
0.8 MVA 10/0.4 kV 1.33 GEAFOL,0.8,50,10,0.4,7.7,1.33,0.16625,6,D,YN,5
0.63 MVA 10/0.4 kV Yyn6 6 wnr ASEA,0.63,50,10,0.4,6.6,1.1,0.174613,6,Y,YN,6
0.63 MVA 10/0.4 kV Yyn6 6 ASEA,0.63,50,10,0.4,6.6,1.4,0.222232,6,Y,YN,6
0.63 MVA 10/0.4 kV Yyn6 4 wnr ASEA,0.63,50,10,0.4,6.4,1.15,0.18255,4,Y,YN,6
0.63 MVA 10/0.4 kV Yyn6 4 ASEA,0.63,50,10,0.4,6.4,1.5,0.238105,4,Y,YN,6
0.63 MVA 10/0.4 kV Yyn0 6wnr ASEA,0.63,50,10,0.4,6.6,1.1,0.174613,6,Y,YN,0
0.63 MVA 10/0.4 kV Yyn0 6 ASEA,0.63,50,10,0.4,6.6,1.4,0.222232,6,Y,YN,0
0.63 MVA 10/0.4 kV Yyn0 4 wnr ASEA,0.63,50,10,0.4,6.4,1.15,0.18255,4,Y,YN,0
0.63 MVA 10/0.4 kV Yyn0 4 ASEA,0.63,50,10,0.4,6.4,1.5,0.238105,4,Y,YN,0
0.63 MVA 10/0.4 kV Trafo Union wnr,0.63,50,10,0.4,6.8,1.18,0.1873016,4,D,YN,5
0.63 MVA 10/0.4 kV Trafo Union,0.63,50,10,0.4,6.3,1.55,0.2460317,4,D,YN,5
0.63 MVA 10/0.4 kV Dyn7 6 wnr ASEA,0.63,50,10,0.4,6.6,1.1,0.174613,6,D,YN,7
0.63 MVA 10/0.4 kV Dyn7 6 ASEA,0.63,50,10,0.4,6.6,1.4,0.222232,6,D,YN,7
0.63 MVA 10/0.4 kV Dyn7 4 wnr ASEA,0.63,50,10,0.4,6.4,1.15,0.18255,4,D,YN,7
0.63 MVA 10/0.4 kV Dyn7 4 ASEA,0.63,50,10,0.4,6.4,1.5,0.238105,4,D,YN,7
0.63 MVA 10/0.4 kV Dyn5 6 wnr ASEA,0.63,50,10,0.4,6.6,1.1,0.174613,6,D,YN,5
0.63 MVA 10/0.4 kV Dyn5 6 ASEA,0.63,50,10,0.4,6.6,1.4,0.222232,6,D,YN,5
0.63 MVA 10/0.4 kV Dyn5 4 wnr ASEA,0.63,50,10,0.4,6.4,1.15,0.18255,4,D,YN,5
0.63 MVA 10/0.4 kV Dyn5 4 ASEA,0.63,50,10,0.4,6.4,1.5,0.238105,4,D,YN,5
0.63 MVA 10/0.4 kV Dyn11 6 wnr ASEA,0.63,50,10,0.4,6.6,1.1,0.174613,6,D,YN,11
0.63 MVA 10/0.4 kV Dyn11 6 ASEA,0.63,50,10,0.4,6.6,1.4,0.222232,6,D,YN,11
0.63 MVA 10/0.4 kV Dyn11 4wnr ASEA,0.63,50,10,0.4,6.4,1.15,0.18255,4,D,YN,11
0.63 MVA 10/0.4 kV Dyn11 4 ASEA,0.63,50,10,0.4,6.4,1.5,0.238105,4,D,YN,11
0.63 MVA 10/0.4 kV Dyn1 6 wnr ASEA,0.63,50,10,0.4,6.6,1.1,0.174613,6,D,YN,1
0.63 MVA 10/0.4 kV Dyn1 6 ASEA,0.63,50,10,0.4,6.6,1.4,0.222232,6,D,YN,1
0.63 MVA 10/0.4 kV Dyn1 4 wnr ASEA,0.63,50,10,0.4,6.4,1.15,0.18255,4,D,YN,1
0.63 MVA 10/0.4 kV Dyn1 4 ASEA,0.63,50,10,0.4,6.4,1.5,0.238105,4,D,YN,1
0.63 MVA 10/0.4 kV DTTHYL SGB,0.63,50,10,0.4,6,0.95,0.150804,6,D,YN,5
0.63 MVA 10/0.4 kV DTTHL SGB,0.63,50,10,0.4,6.4,1.12,0.177788,4,D,YN,5
0.63 MVA 10/0.4 kV DTTH  SGB,0.63,50,10,0.4,6.4,1.4,0.222232,4,D,YN,5
0.63 MVA 10/0.4 kV DTKa SGB,0.63,50,10,0.4,6.5,1.65,0.261915,6,Y,ZN,5
0.63 MVA 10/0.4 kV DT 630/10 F SGB,0.63,50,10,0.4,6.5,1.45,0.230169,6,Y,ZN,5
0.63 MVA 10/0.4 kV DT 630   SGB,0.63,50,10,0.4,6.6,1.6,0.253978,4,Y,ZN,5
0.63 MVA 10/0.4 kV DOTNL 630/10  SGB,0.63,50,10,0.4,8.4,0.88,0.139693,4,Y,ZN,5
0.63 MVA 10/0.4 kV DOTN 630/10  SGB,0.63,50,10,0.4,8.4,1.15,0.18255,4,Y,ZN,5
0.63 MVA 10/0.4 kV DOTEL 630/10  SGB,0.63,50,10,0.4,6.5,0.85,0.134931,4,Y,ZN,5
0.63 MVA 10/0.4 kV DOTE 630/10  SGB,0.63,50,10,0.4,6.5,1.3,0.206359,4,Y,ZN,5
0.63 MVA 10/0.4 kV 1.5 GEAFOL,0.63,50,10,0.4,5.8,1.5,0.2380952,4,D,YN,5
0.63 MVA 10/0.4 kV 1.4 GEAFOL/FC,0.63,50,10,0.4,6.1,1.4,0.2222222,6,D,YN,5
0.63 MVA 10/0.4 kV 1.4 GEAFOL,0.63,50,10,0.4,5.6,1.4,0.2222222,6,D,YN,5
0.63 MVA 10/0.4 kV 1.17 GEAFOL,0.63,50,10,0.4,6.4,1.17,0.1857143,4,D,YN,5
0.63 MVA 10/0.4 kV 1.09 GEAFOL,0.63,50,10,0.4,6.4,1.09,0.1730159,6,D,YN,5
0.5 MVA 10/0.4 kV Yyn6 6 wnr ASEA,0.5,50,10,0.4,5.7,0.94,0.18801,6,Y,YN,6
0.5 MVA 10/0.4 kV Yyn6 6 ASEA,0.5,50,10,0.4,5.7,1.2,0.24001,6,Y,YN,6
0.5 MVA 10/0.4 kV Yyn6 4 wnr ASEA,0.5,50,10,0.4,5.5,1,0.20001,4,Y,YN,6
0.5 MVA 10/0.4 kV Yyn6 4 ASEA,0.5,50,10,0.4,5.5,1.3,0.26001,4,Y,YN,6
0.5 MVA 10/0.4 kV Yyn0 6 wnr ASEA,0.5,50,10,0.4,5.7,0.94,0.18801,6,Y,YN,0
0.5 MVA 10/0.4 kV Yyn0 6 ASEA,0.5,50,10,0.4,5.7,1.2,0.24001,6,Y,YN,0
0.5 MVA 10/0.4 kV Yyn0 4 wnr ASEA,0.5,50,10,0.4,5.5,1,0.20001,4,Y,YN,0
0.5 MVA 10/0.4 kV Yyn0 4 ASEA,0.5,50,10,0.4,5.5,1.3,0.26001,4,Y,YN,0
0.5 MVA 10/0.4 kV Trafo Union wnr,0.5,50,10,0.4,5.5,1.07,0.214,4,D,YN,5
0.5 MVA 10/0.4 kV Trafo Union,0.5,50,10,0.4,5.2,1.38,0.276,4,D,YN,5
0.5 MVA 10/0.4 kV Dyn7 6 wnr ASEA,0.5,50,10,0.4,5.7,0.94,0.18801,6,D,YN,7
0.5 MVA 10/0.4 kV Dyn7 6 ASEA,0.5,50,10,0.4,5.7,1.2,0.24001,6,D,YN,7
0.5 MVA 10/0.4 kV Dyn7 4 wnr ASEA,0.5,50,10,0.4,5.5,1,0.20001,4,D,YN,7
0.5 MVA 10/0.4 kV Dyn7 4 ASEA,0.5,50,10,0.4,5.5,1.3,0.26001,4,D,YN,7
0.5 MVA 10/0.4 kV Dyn5 6 wnr ASEA,0.5,50,10,0.4,5.7,0.94,0.18801,6,D,YN,5
