Name,Rate (MVA),Frequency (Hz),HV (kV),LV (kV),Copper losses (kW),No load losses (kW),No load current (%),V short circuit (%),HV vector group,LV vector group,Phase shift (*30ยบ)
0.5 MVA 10/0.4 kV Dyn5 6 ASEA,0.5,50,10,0.4,5.7,1.2,0.24001,6,D,YN,5
0.5 MVA 10/0.4 kV Dyn5 4 wnr ASEA,0.5,50,10,0.4,5.5,1,0.20001,4,D,YN,5
0.5 MVA 10/0.4 kV Dyn5 4 ASEA,0.5,50,10,0.4,5.5,1.3,0.26001,4,D,YN,5
0.5 MVA 10/0.4 kV Dyn11 6 wnr ASEA,0.5,50,10,0.4,5.7,0.94,0.18801,6,D,YN,11
0.5 MVA 10/0.4 kV Dyn11 6 ASEA,0.5,50,10,0.4,5.7,1.2,0.24001,6,D,YN,11
0.5 MVA 10/0.4 kV Dyn11 4 wnr ASEA,0.5,50,10,0.4,5.5,1,0.20001,4,D,YN,11
0.5 MVA 10/0.4 kV Dyn11 4 ASEA,0.5,50,10,0.4,5.5,1.3,0.26001,4,D,YN,11
0.5 MVA 10/0.4 kV Dyn1 6 wnr ASEA,0.5,50,10,0.4,5.7,0.94,0.18801,6,D,YN,1
0.5 MVA 10/0.4 kV Dyn1 6 ASEA,0.5,50,10,0.4,5.7,1.2,0.24001,6,D,YN,1
0.5 MVA 10/0.4 kV Dyn1 4 wnr ASEA,0.5,50,10,0.4,5.5,1,0.20001,4,D,YN,1
0.5 MVA 10/0.4 kV Dyn1 4 ASEA,0.5,50,10,0.4,5.5,1.3,0.26001,4,D,YN,1
0.5 MVA 10/0.4 kV DTTHYL SGB,0.5,50,10,0.4,5.3,0.82,0.16401,6,D,YN,5
0.5 MVA 10/0.4 kV DTTHL SGB,0.5,50,10,0.4,5.1,0.95,0.19001,4,D,YN,5
0.5 MVA 10/0.4 kV DTTH  SGB,0.5,50,10,0.4,5.1,1.2,0.24001,4,D,YN,5
0.5 MVA 10/0.4 kV DT 500/10 F SGB,0.5,50,10,0.4,5.5,1.3,0.26001,6,Y,ZN,5
0.5 MVA 10/0.4 kV DT 500   SGB,0.5,50,10,0.4,5.4,1.4,0.28001,4,Y,ZN,5
0.5 MVA 10/0.4 kV DOTNL 500/10  SGB,0.5,50,10,0.4,7.15,0.75,0.15001,4,Y,ZN,5
0.5 MVA 10/0.4 kV DOTN 500/10  SGB,0.5,50,10,0.4,7.15,0.98,0.19601,4,Y,ZN,5
0.5 MVA 10/0.4 kV DOTEL 500/10  SGB,0.5,50,10,0.4,5.5,0.72,0.14401,4,Y,ZN,5
0.5 MVA 10/0.4 kV DOTE 500/10  SGB,0.5,50,10,0.4,5.5,1.1,0.22001,4,Y,ZN,5
0.5 MVA 10/0.4 kV 1.3 GEAFOL,0.5,50,10,0.4,4.2,1.3,0.26,4,D,YN,5
0.5 MVA 10/0.4 kV 1.2 GEAFOL/FC,0.5,50,10,0.4,5.2,1.2,0.24,6,D,YN,5
0.5 MVA 10/0.4 kV 1.2 GEAFOL,0.5,50,10,0.4,5,1.2,0.24,6,D,YN,5
0.5 MVA 10/0.4 kV 1.01 GEAFOL,0.5,50,10,0.4,4.8,1.01,0.202,4,D,YN,5
0.5 MVA 10/0.4 kV 0.94 GEAFOL,0.5,50,10,0.4,4.7,0.94,0.188,6,D,YN,5
0.4 MVA 10/0.4 kV Yyn6 6 wnr ASEA,0.4,50,10,0.4,5,0.78,0.19501,6,Y,YN,6
0.4 MVA 10/0.4 kV Yyn6 6 ASEA,0.4,50,10,0.4,5,1,0.25001,6,Y,YN,6
0.4 MVA 10/0.4 kV Yyn6 4 wnr ASEA,0.4,50,10,0.4,4.3,0.88,0.22001,4,Y,YN,6
0.4 MVA 10/0.4 kV Yyn6 4 ASEA,0.4,50,10,0.4,4.3,1.15,0.28751,4,Y,YN,6
0.4 MVA 10/0.4 kV Yyn0 6 wnr ASEA,0.4,50,10,0.4,5,0.78,0.19501,6,Y,YN,0
0.4 MVA 10/0.4 kV Yyn0 6 ASEA,0.4,50,10,0.4,5,1,0.25001,6,Y,YN,0
0.4 MVA 10/0.4 kV Yyn0 4 wnr ASEA,0.4,50,10,0.4,4.3,0.88,0.22001,4,Y,YN,0
0.4 MVA 10/0.4 kV Yyn0 4 ASEA,0.4,50,10,0.4,4.3,1.15,0.28751,4,Y,YN,0
0.4 MVA 10/0.4 kV Trafo Union wnr,0.4,50,10,0.4,5.3,0.95,0.2375,4,D,YN,5
0.4 MVA 10/0.4 kV Trafo Union,0.4,50,10,0.4,5,1.22,0.305,4,D,YN,5
0.4 MVA 10/0.4 kV Dyn7 6 wnr ASEA,0.4,50,10,0.4,5,0.78,0.19501,6,D,YN,7
0.4 MVA 10/0.4 kV Dyn7 6 ASEA,0.4,50,10,0.4,5,1,0.25001,6,D,YN,7
0.4 MVA 10/0.4 kV Dyn7 4 wnr ASEA,0.4,50,10,0.4,4.3,0.88,0.22001,4,D,YN,7
0.4 MVA 10/0.4 kV Dyn7 4 ASEA,0.4,50,10,0.4,4.3,1.15,0.28751,4,D,YN,7
0.4 MVA 10/0.4 kV Dyn5 6 wnr ASEA,0.4,50,10,0.4,5,0.78,0.19501,6,D,YN,5
0.4 MVA 10/0.4 kV Dyn5 6 ASEA,0.4,50,10,0.4,5,1,0.25001,6,D,YN,5
0.4 MVA 10/0.4 kV Dyn5 4 wnr ASEA,0.4,50,10,0.4,4.3,0.88,0.22001,4,D,YN,5
0.4 MVA 10/0.4 kV Dyn5 4 ASEA,0.4,50,10,0.4,4.3,1.15,0.28751,4,D,YN,5
0.4 MVA 10/0.4 kV Dyn11 6wnr ASEA,0.4,50,10,0.4,5,0.78,0.19501,6,D,YN,11
0.4 MVA 10/0.4 kV Dyn11 6 ASEA,0.4,50,10,0.4,5,1,0.25001,6,D,YN,11
0.4 MVA 10/0.4 kV Dyn11 4 wnr ASEA,0.4,50,10,0.4,4.3,0.88,0.22001,4,D,YN,11
0.4 MVA 10/0.4 kV Dyn11 4 ASEA,0.4,50,10,0.4,4.3,1.15,0.28751,4,D,YN,11
0.4 MVA 10/0.4 kV Dyn1 6 wnr ASEA,0.4,50,10,0.4,5,0.78,0.19501,6,D,YN,1
0.4 MVA 10/0.4 kV Dyn1 6 ASEA,0.4,50,10,0.4,5,1,0.25001,6,D,YN,1
0.4 MVA 10/0.4 kV Dyn1 4 wnr ASEA,0.4,50,10,0.4,4.3,0.88,0.22001,4,D,YN,1
0.4 MVA 10/0.4 kV Dyn1 4 ASEA,0.4,50,10,0.4,4.3,1.15,0.28751,4,D,YN,1
0.4 MVA 10/0.4 kV DTTHYL SGB,0.4,50,10,0.4,4.3,0.67,0.16751,6,D,YN,5
0.4 MVA 10/0.4 kV DTTHL SGB,0.4,50,10,0.4,4.3,0.83,0.20751,4,D,YN,5
0.4 MVA 10/0.4 kV DTTH  SGB,0.4,50,10,0.4,4.3,1.05,0.26251,4,D,YN,5
0.4 MVA 10/0.4 kV DTKa SGB,0.4,50,10,0.4,4.5,1.2,0.30001,6,Y,ZN,5
0.4 MVA 10/0.4 kV DT 400/10 F   SGB,0.4,50,10,0.4,4.6,1.15,0.28751,6,Y,ZN,5
0.4 MVA 10/0.4 kV DT 400   SGB,0.4,50,10,0.4,4.6,1.25,0.31251,4,Y,ZN,5
0.4 MVA 10/0.4 kV DOTNL 400/10  SGB,0.4,50,10,0.4,6,0.625,0.15626,4,Y,ZN,5
0.4 MVA 10/0.4 kV DOTN 400/10  SGB,0.4,50,10,0.4,6,0.815,0.20376,4,Y,ZN,5
0.4 MVA 10/0.4 kV DOTEL 400/10  SGB,0.4,50,10,0.4,4.6,0.6,0.15001,4,Y,ZN,5
0.4 MVA 10/0.4 kV DOTE 400/10  SGB,0.4,50,10,0.4,4.6,0.93,0.23251,4,Y,ZN,5
0.4 MVA 10/0.4 kV 1.15 GEAFOL,0.4,50,10,0.4,3.7,1.15,0.2875,4,D,YN,5
0.4 MVA 10/0.4 kV 1 GEAFOL/FC,0.4,50,10,0.4,4.4,1,0.25,6,D,YN,5
0.4 MVA 10/0.4 kV 1 GEAFOL,0.4,50,10,0.4,3.9,1,0.25,6,D,YN,5
0.4 MVA 10/0.4 kV 0.9 GEAFOL,0.4,50,10,0.4,4.3,0.9,0.225,4,D,YN,5
0.4 MVA 10/0.4 kV 0.78 GEAFOL,0.4,50,10,0.4,4.1,0.78,0.195,6,D,YN,5
0.315 MVA 10/0.4 kV Yyn6 6 wnr ASEA,0.315,50,10,0.4,4.1,0.64,0.203185,6,Y,YN,6
0.315 MVA 10/0.4 kV Yyn6 6 ASEA,0.315,50,10,0.4,4.1,0.82,0.260327,6,Y,YN,6
0.315 MVA 10/0.4 kV Yyn6 4 wnr ASEA,0.315,50,10,0.4,3.65,0.73,0.231756,4,Y,YN,6
0.315 MVA 10/0.4 kV Yyn6 4 ASEA,0.315,50,10,0.4,3.65,0.95,0.301597,4,Y,YN,6
0.315 MVA 10/0.4 kV Yyn0 6 wnr ASEA,0.315,50,10,0.4,4.1,0.64,0.203185,6,Y,YN,0
0.315 MVA 10/0.4 kV Yyn0 6 ASEA,0.315,50,10,0.4,4.1,0.82,0.260327,6,Y,YN,0
0.315 MVA 10/0.4 kV Yyn0 4wnr ASEA,0.315,50,10,0.4,3.65,0.73,0.231756,4,Y,YN,0
0.315 MVA 10/0.4 kV Yyn0 4 ASEA,0.315,50,10,0.4,3.65,0.95,0.301597,4,Y,YN,0
0.315 MVA 10/0.4 kV Trafo Union wnr,0.315,50,10,0.4,4.2,0.87,0.2761905,4,D,YN,5
0.315 MVA 10/0.4 kV Trafo Union,0.315,50,10,0.4,4,1.12,0.3555556,4,D,YN,5
0.315 MVA 10/0.4 kV Dyn7 6wnr ASEA,0.315,50,10,0.4,4.1,0.64,0.203185,6,D,YN,7
0.315 MVA 10/0.4 kV Dyn7 6 ASEA,0.315,50,10,0.4,4.1,0.82,0.260327,6,D,YN,7
0.315 MVA 10/0.4 kV Dyn7 4wnr ASEA,0.315,50,10,0.4,3.65,0.73,0.231756,4,D,YN,7
0.315 MVA 10/0.4 kV Dyn7 4 ASEA,0.315,50,10,0.4,3.65,0.95,0.301597,4,D,YN,7
0.315 MVA 10/0.4 kV Dyn5 6 wnr ASEA,0.315,50,10,0.4,4.1,0.64,0.203185,6,D,YN,5
0.315 MVA 10/0.4 kV Dyn5 6 ASEA,0.315,50,10,0.4,4.1,0.82,0.260327,6,D,YN,5
0.315 MVA 10/0.4 kV Dyn5 4 wnr ASEA,0.315,50,10,0.4,3.65,0.73,0.231756,4,D,YN,5
0.315 MVA 10/0.4 kV Dyn5 4 ASEA,0.315,50,10,0.4,3.65,0.95,0.301597,4,D,YN,5
0.315 MVA 10/0.4 kV Dyn11 6wnr ASEA,0.315,50,10,0.4,4.1,0.64,0.203185,6,D,YN,11
0.315 MVA 10/0.4 kV Dyn11 6 ASEA,0.315,50,10,0.4,4.1,0.82,0.260327,6,D,YN,11
0.315 MVA 10/0.4 kV Dyn11 4wnr ASEA,0.315,50,10,0.4,3.65,0.73,0.231756,4,D,YN,11
0.315 MVA 10/0.4 kV Dyn11 4 ASEA,0.315,50,10,0.4,3.65,0.95,0.301597,4,D,YN,11
0.315 MVA 10/0.4 kV Dyn1 6 wnr ASEA,0.315,50,10,0.4,4.1,0.64,0.203185,6,D,YN,1
0.315 MVA 10/0.4 kV Dyn1 6 ASEA,0.315,50,10,0.4,4.1,0.82,0.260327,6,D,YN,1
0.315 MVA 10/0.4 kV Dyn1 4 wnr ASEA,0.315,50,10,0.4,3.65,0.73,0.231756,4,D,YN,1
0.315 MVA 10/0.4 kV Dyn1 4 ASEA,0.315,50,10,0.4,3.65,0.95,0.301597,4,D,YN,1
0.315 MVA 10/0.4 kV DT 315/10 F   SGB,0.315,50,10,0.4,4,0.95,0.301597,6,Y,ZN,5
0.315 MVA 10/0.4 kV DT 315   SGB,0.315,50,10,0.4,4,1,0.31747,4,Y,ZN,5
0.315 MVA 10/0.4 kV DOTNL 315/10  SGB,0.315,50,10,0.4,4.9,0.52,0.165089,4,Y,ZN,5
0.315 MVA 10/0.4 kV DOTN 315/10  SGB,0.315,50,10,0.4,4.9,0.68,0.215883,4,Y,ZN,5
0.315 MVA 10/0.4 kV DOTE 315/10  SGB,0.315,50,10,0.4,3.9,0.77,0.244454,4,Y,ZN,5
0.315 MVA 10/0.4 kV 0.95 GEAFOL,0.315,50,10,0.4,3.5,0.95,0.3015873,4,D,YN,5
0.315 MVA 10/0.4 kV 0.82 GEAFOL,0.315,50,10,0.4,3.4,0.82,0.2603175,6,D,YN,5
0.315 MVA 10/0.4 kV 0.74 GEAFOL,0.315,50,10,0.4,3.6,0.74,0.2349206,4,D,YN,5
0.315 MVA 10/0.4 kV 0.64 GEAFOL,0.315,50,10,0.4,3.8,0.64,0.2031746,6,D,YN,5
0.315 MVA 0.4/10kV DOTEL 315/10  SGB,0.315,50,10,0.4,3.9,0.5,0.15874,4,Y,ZN,5
0.25 MVA 10/0.4 kV Yyn6 6 wnr ASEA,0.25,50,10,0.4,3.4,0.54,0.21601,6,Y,YN,6
0.25 MVA 10/0.4 kV Yyn6 6 ASEA,0.25,50,10,0.4,3.4,0.69,0.27601,6,Y,YN,6
0.25 MVA 10/0.4 kV Yyn6 4 wnr ASEA,0.25,50,10,0.4,3,0.62,0.24801,4,Y,YN,6
0.25 MVA 10/0.4 kV Yyn6 4 ASEA,0.25,50,10,0.4,3,0.82,0.32801,4,Y,YN,6
0.25 MVA 10/0.4 kV Yyn0 6wnr ASEA,0.25,50,10,0.4,3.4,0.54,0.21601,6,Y,YN,0
0.25 MVA 10/0.4 kV Yyn0 6 ASEA,0.25,50,10,0.4,3.4,0.69,0.27601,6,Y,YN,0
0.25 MVA 10/0.4 kV Yyn0 4 wnr ASEA,0.25,50,10,0.4,3,0.62,0.24801,4,Y,YN,0
0.25 MVA 10/0.4 kV Yyn0 4 ASEA,0.25,50,10,0.4,3,0.82,0.32801,4,Y,YN,0
0.25 MVA 10/0.4 kV ET 250/23  SGB,0.25,50,10,0.4,3,0.82,0.32801,3.75,Y,ZN,5
0.25 MVA 10/0.4 kV ET 250  SGB,0.25,50,10,0.4,3,0.82,0.32801,3.75,Y,ZN,5
0.25 MVA 10/0.4 kV Dyn7 6 wnr ASEA,0.25,50,10,0.4,3.4,0.54,0.21601,6,D,YN,7
0.25 MVA 10/0.4 kV Dyn7 6 ASEA,0.25,50,10,0.4,3.4,0.69,0.27601,6,D,YN,7
0.25 MVA 10/0.4 kV Dyn7 4 wnr ASEA,0.25,50,10,0.4,3,0.62,0.24801,4,D,YN,7
0.25 MVA 10/0.4 kV Dyn7 4 ASEA,0.25,50,10,0.4,3,0.82,0.32801,4,D,YN,7
0.25 MVA 10/0.4 kV Dyn5 6 wnr ASEA,0.25,50,10,0.4,3.4,0.54,0.21601,6,D,YN,5
0.25 MVA 10/0.4 kV Dyn5 6 ASEA,0.25,50,10,0.4,3.4,0.69,0.27601,6,D,YN,5
0.25 MVA 10/0.4 kV Dyn5 4 wnr ASEA,0.25,50,10,0.4,3,0.62,0.24801,4,D,YN,5
0.25 MVA 10/0.4 kV Dyn5 4 ASEA,0.25,50,10,0.4,3,0.82,0.32801,4,D,YN,5
0.25 MVA 10/0.4 kV Dyn11 6 wnr ASEA,0.25,50,10,0.4,3.4,0.54,0.21601,6,D,YN,11
0.25 MVA 10/0.4 kV Dyn11 6 ASEA,0.25,50,10,0.4,3.4,0.69,0.27601,6,D,YN,11
0.25 MVA 10/0.4 kV Dyn11 4 wnr ASEA,0.25,50,10,0.4,3,0.62,0.24801,4,D,YN,11
0.25 MVA 10/0.4 kV Dyn11 4 ASEA,0.25,50,10,0.4,3,0.82,0.32801,4,D,YN,11
0.25 MVA 10/0.4 kV Dyn1 6 wnr ASEA,0.25,50,10,0.4,3.4,0.54,0.21601,6,D,YN,1
0.25 MVA 10/0.4 kV Dyn1 6 ASEA,0.25,50,10,0.4,3.4,0.69,0.27601,6,D,YN,1
0.25 MVA 10/0.4 kV Dyn1 4 wnr ASEA,0.25,50,10,0.4,3,0.62,0.24801,4,D,YN,1
0.25 MVA 10/0.4 kV Dyn1 4 ASEA,0.25,50,10,0.4,3,0.82,0.32801,4,D,YN,1
0.25 MVA 10/0.4 kV DTTHL SGB,0.25,50,10,0.4,3,0.5,0.20001,4,D,YN,5
0.25 MVA 10/0.4 kV DTKa SGB,0.25,50,10,0.4,3.2,0.8,0.32001,6,Y,ZN,5
0.25 MVA 10/0.4 kV DT 250/10 F   SGB,0.25,50,10,0.4,3.4,0.8,0.32001,6,Y,ZN,5
0.25 MVA 10/0.4 kV DT 250   SGB,0.25,50,10,0.4,3.2,0.9,0.36001,4,Y,ZN,5
0.25 MVA 10/0.4 kV DOTNL 250/10  SGB,0.25,50,10,0.4,4.1,0.435,0.17401,4,Y,ZN,5
0.25 MVA 10/0.4 kV DOTN 250/10  SGB,0.25,50,10,0.4,4.1,0.57,0.22801,4,Y,ZN,5
0.25 MVA 10/0.4 kV DOTEL 250/10  SGB,0.25,50,10,0.4,3.25,0.42,0.16801,4,Y,ZN,5
0.25 MVA 10/0.4 kV DOTE 250/10  SGB,0.25,50,10,0.4,3.25,0.65,0.26001,4,Y,ZN,5
0.25 MVA 10/0.4 kV 0.82 GEAFOL,0.25,50,10,0.4,3,0.82,0.328,4,D,YN,5
0.25 MVA 10/0.4 kV 0.77 Trafo Union,0.25,50,10,0.4,2.9,0.77,0.308,4,D,YN,5
0.25 MVA 10/0.4 kV 0.69 GEAFOL,0.25,50,10,0.4,3,0.69,0.276,6,D,YN,5
0.25 MVA 10/0.4 kV 0.64 GEAFOL,0.25,50,10,0.4,3,0.64,0.256,4,D,YN,5
0.25 MVA 10/0.4 kV 0.6 Trafo Union wnr,0.25,50,10,0.4,3,0.6,0.24,4,D,YN,5
0.25 MVA 10/0.4 kV 0.54 GEAFOL,0.25,50,10,0.4,3.4,0.54,0.216,6,D,YN,5
0.25 MVA 10/0.4 kV 0.5 Trafo Union,0.25,50,10,0.4,2.9,0.77,0.308,4,D,YN,5
0.25 MVA 10/0.4 kV 0.4 Trafo Union wnr,0.25,50,10,0.4,3,0.6,0.24,4,D,YN,5
0.2 MVA 10/0.4 kV Yyn6 wnr ASEA,0.2,50,10,0.4,2.75,0.52,0.26001,4,Y,YN,6
0.2 MVA 10/0.4 kV Yyn6 ASEA,0.2,50,10,0.4,2.75,0.69,0.34501,4,Y,YN,6
0.2 MVA 10/0.4 kV Yyn0 wnr ASEA,0.2,50,10,0.4,2.75,0.52,0.26001,4,Y,YN,0
0.2 MVA 10/0.4 kV Yyn0 ASEA,0.2,50,10,0.4,2.75,0.69,0.34501,4,Y,YN,0
0.2 MVA 10/0.4 kV Trafo Union wnr,0.2,50,10,0.4,2.5,0.55,0.275,4,D,YN,5
0.2 MVA 10/0.4 kV Trafo Union,0.2,50,10,0.4,2.5,0.7,0.35,4,D,YN,5
0.2 MVA 10/0.4 kV Dyn7 wnr ASEA,0.2,50,10,0.4,2.75,0.52,0.26001,4,D,YN,7
0.2 MVA 10/0.4 kV Dyn7 ASEA,0.2,50,10,0.4,2.75,0.69,0.34501,4,D,YN,7
0.2 MVA 10/0.4 kV Dyn5 wnr ASEA,0.2,50,10,0.4,2.75,0.52,0.26001,4,D,YN,5
0.2 MVA 10/0.4 kV Dyn5 ASEA,0.2,50,10,0.4,2.75,0.69,0.34501,4,D,YN,5
0.2 MVA 10/0.4 kV Dyn11 wnr ASEA,0.2,50,10,0.4,2.75,0.52,0.26001,4,D,YN,11
0.2 MVA 10/0.4 kV Dyn11 ASEA,0.2,50,10,0.4,2.75,0.69,0.34501,4,D,YN,11
0.2 MVA 10/0.4 kV Dyn1 wnr ASEA,0.2,50,10,0.4,2.75,0.52,0.26001,4,D,YN,1
0.2 MVA 10/0.4 kV Dyn1 ASEA,0.2,50,10,0.4,2.75,0.69,0.34501,4,D,YN,1
0.2 MVA 10/0.4 kV DT 200/10 F   SGB,0.2,50,10,0.4,2.3,0.65,0.32501,4,Y,ZN,5
0.2 MVA 10/0.4 kV DT 200   SGB,0.2,50,10,0.4,2.8,0.75,0.37501,4,Y,ZN,5
0.2 MVA 10/0.4 kV DOTNL 200/10  SGB,0.2,50,10,0.4,3.6,0.355,0.17751,4,Y,ZN,5
0.2 MVA 10/0.4 kV DOTN 200/10  SGB,0.2,50,10,0.4,3.6,0.445,0.22251,4,Y,ZN,5
0.2 MVA 10/0.4 kV DOTEL 200/10  SGB,0.2,50,10,0.4,2.85,0.36,0.18001,4,Y,ZN,5
0.2 MVA 10/0.4 kV DOTE 200/10  SGB,0.2,50,10,0.4,2.85,0.55,0.27501,4,Y,ZN,5
0.2 MVA 10/0.4 kV 0.69 GEAFOL,0.2,50,10,0.4,2.65,0.69,0.345,4,D,YN,5
0.2 MVA 10/0.4 kV 0.57 GEAFOL,0.2,50,10,0.4,2.8,0.57,0.285,6,D,YN,5
0.2 MVA 10/0.4 kV 0.54 GEAFOL,0.2,50,10,0.4,2.6,0.54,0.27,4,D,YN,5
0.2 MVA 10/0.4 kV 0.44 GEAFOL,0.2,50,10,0.4,2.9,0.44,0.22,6,D,YN,5
0.16 MVA 10/0.4 kV Yyn6 wnr ASEA,0.16,50,10,0.4,2.3,0.46,0.28751,4,Y,YN,6
0.16 MVA 10/0.4 kV Yyn6 ASEA,0.16,50,10,0.4,2.3,0.61,0.38126,4,Y,YN,6
0.16 MVA 10/0.4 kV Yyn0 wnr ASEA,0.16,50,10,0.4,2.3,0.46,0.28751,4,Y,YN,0
0.16 MVA 10/0.4 kV Yyn0 ASEA,0.16,50,10,0.4,2.3,0.61,0.38126,4,Y,YN,0
0.16 MVA 10/0.4 kV Trafo Union wnr,0.16,50,10,0.4,2.5,0.45,0.28125,4,D,YN,5
0.16 MVA 10/0.4 kV Trafo Union,0.16,50,10,0.4,2.4,0.55,0.34375,4,D,YN,5
0.16 MVA 10/0.4 kV ET 160/23  SGB,0.16,50,10,0.4,2.1,0.58,0.36251,3.75,Y,ZN,5
0.16 MVA 10/0.4 kV ET 160  SGB,0.16,50,10,0.4,2.1,0.58,0.36251,3.75,Y,ZN,5
0.16 MVA 10/0.4 kV Dyn7 wnr ASEA,0.16,50,10,0.4,2.3,0.46,0.28751,4,D,YN,7
0.16 MVA 10/0.4 kV Dyn7 ASEA,0.16,50,10,0.4,2.3,0.61,0.38126,4,D,YN,7
0.16 MVA 10/0.4 kV Dyn5 wnr ASEA,0.16,50,10,0.4,2.3,0.46,0.28751,4,D,YN,5
0.16 MVA 10/0.4 kV Dyn5 ASEA,0.16,50,10,0.4,2.3,0.61,0.38126,4,D,YN,5
0.16 MVA 10/0.4 kV Dyn11 wnr ASEA,0.16,50,10,0.4,2.3,0.46,0.28751,4,D,YN,11
0.16 MVA 10/0.4 kV Dyn11 ASEA,0.16,50,10,0.4,2.3,0.61,0.38126,4,D,YN,11
0.16 MVA 10/0.4 kV Dyn1 wnr ASEA,0.16,50,10,0.4,2.3,0.46,0.28751,4,D,YN,1
0.16 MVA 10/0.4 kV Dyn1 ASEA,0.16,50,10,0.4,2.3,0.61,0.38126,4,D,YN,1
0.16 MVA 10/0.4 kV DTTHL SGB,0.16,50,10,0.4,2.6,0.35,0.21876,4,D,YN,5
0.16 MVA 10/0.4 kV DTKa 4 SGB,0.16,50,10,0.4,2.6,0.58,0.36251,4,Y,ZN,5
0.16 MVA 10/0.4 kV DTKa 3.8 SGB,0.16,50,10,0.4,2.4,0.58,0.36251,3.8,Y,ZN,5
0.16 MVA 10/0.4 kV DT 160/10 F   SGB,0.16,50,10,0.4,2.3,0.65,0.40626,4,Y,ZN,5
0.16 MVA 10/0.4 kV DT 160   SGB,0.16,50,10,0.4,2.3,0.63,0.39376,4,Y,ZN,5
0.16 MVA 10/0.4 kV DOTNL 160/10  SGB,0.16,50,10,0.4,3.1,0.295,0.184385,4,Y,ZN,5
