Name,Rate (MVA),Frequency (Hz),HV (kV),LV (kV),Copper losses (kW),No load losses (kW),No load current (%),V short circuit (%),HV vector group,LV vector group,Phase shift (*30ยบ)
0.16 MVA 10/0.4 kV DOTN 160/10  SGB,0.16,50,10,0.4,3.1,0.39,0.24376,4,Y,ZN,5
0.16 MVA 10/0.4 kV DOTEL 160/10  SGB,0.16,50,10,0.4,2.35,0.3,0.18751,4,Y,ZN,5
0.16 MVA 10/0.4 kV DOTE 160/10  SGB,0.16,50,10,0.4,2.35,0.46,0.28751,4,Y,ZN,5
0.16 MVA 10/0.4 kV 6 GEAFOL,0.16,50,10,0.4,2.4,0.48,0.3,6,D,YN,5
0.16 MVA 10/0.4 kV 4 GEAFOL,0.16,50,10,0.4,2.3,0.48,0.3,4,D,YN,5
0.16 MVA 10/0.4 kV 0.61 GEAFOL,0.16,50,10,0.4,2.3,0.61,0.38125,4,D,YN,5
0.16 MVA 10/0.4 kV 0.37 GEAFOL,0.16,50,10,0.4,2.4,0.37,0.23125,6,D,YN,5
0.125 MVA 10/0.4 kV Yyn6 wnr ASEA,0.125,50,10,0.4,2,0.4,0.32001,4,Y,YN,6
0.125 MVA 10/0.4 kV Yyn6 ASEA,0.125,50,10,0.4,2,0.52,0.41601,4,Y,YN,6
0.125 MVA 10/0.4 kV Yyn0 wnr ASEA,0.125,50,10,0.4,2,0.4,0.32001,4,Y,YN,0
0.125 MVA 10/0.4 kV Yyn0 ASEA,0.125,50,10,0.4,2,0.52,0.41601,4,Y,YN,0
0.125 MVA 10/0.4 kV Trafo Union wnr,0.125,50,10,0.4,2,0.4,0.32001,4,Y,ZN,5
0.125 MVA 10/0.4 kV Trafo Union,0.125,50,10,0.4,1.9,0.5,0.40001,4,Y,ZN,5
0.125 MVA 10/0.4 kV Dyn7 wnr ASEA,0.125,50,10,0.4,2,0.4,0.32001,4,D,YN,7
0.125 MVA 10/0.4 kV Dyn7 ASEA,0.125,50,10,0.4,2,0.52,0.41601,4,D,YN,7
0.125 MVA 10/0.4 kV Dyn5 wnr ASEA,0.125,50,10,0.4,2,0.4,0.32001,4,D,YN,5
0.125 MVA 10/0.4 kV Dyn5 ASEA,0.125,50,10,0.4,2,0.52,0.41601,4,D,YN,5
0.125 MVA 10/0.4 kV Dyn11 wnr ASEA,0.125,50,10,0.4,2,0.4,0.32001,4,D,YN,11
0.125 MVA 10/0.4 kV Dyn11 ASEA,0.125,50,10,0.4,2,0.52,0.41601,4,D,YN,11
0.125 MVA 10/0.4 kV Dyn1 wnr ASEA,0.125,50,10,0.4,2,0.4,0.32001,4,D,YN,1
0.125 MVA 10/0.4 kV Dyn1 ASEA,0.125,50,10,0.4,2,0.52,0.41601,4,D,YN,1
0.125 MVA 10/0.4 kV DOTNL 125/10  SGB,0.125,50,10,0.4,2.65,0.255,0.20401,4,Y,ZN,5
0.125 MVA 10/0.4 kV DOTN 125/10  SGB,0.125,50,10,0.4,2.65,0.34,0.27201,4,Y,ZN,5
0.125 MVA 10/0.4 kV DOTEL 125/10  SGB,0.125,50,10,0.4,2.05,0.255,0.20401,4,Y,ZN,5
0.125 MVA 10/0.4 kV DOTE 125/10  SGB,0.125,50,10,0.4,2.05,0.39,0.31201,4,Y,ZN,5
0.125 MVA 10/0.4 kV 0.52 GEAFOL,0.125,50,10,0.4,1.9,0.52,0.416,4,D,YN,5
0.125 MVA 10/0.4 kV 0.41 GEAFOL,0.125,50,10,0.4,2,0.41,0.328,4,D,YN,5
0.125 MVA 10/0.4 kV 0.4 GEAFOL,0.125,50,10,0.4,2,0.4,0.32,6,D,YN,5
0.125 MVA 10/0.4 kV 0.31 GEAFOL,0.125,50,10,0.4,2,0.31,0.248,6,D,YN,5
0.1 MVA 10/0.4 kV Yyn6 wnr ASEA,0.1,50,10,0.4,1.7,0.34,0.34001,4,Y,YN,6
0.1 MVA 10/0.4 kV Yyn6 ASEA,0.1,50,10,0.4,1.7,0.44,0.44001,4,Y,YN,6
0.1 MVA 10/0.4 kV Yyn0 wnr ASEA,0.1,50,10,0.4,1.7,0.34,0.34001,4,Y,YN,0
0.1 MVA 10/0.4 kV Yyn0 ASEA,0.1,50,10,0.4,1.7,0.44,0.44001,4,Y,YN,0
0.1 MVA 10/0.4 kV Trafo Union wnr,0.1,50,10,0.4,1.9,0.35,0.35,4,Y,ZN,5
0.1 MVA 10/0.4 kV Trafo Union,0.1,50,10,0.4,1.9,0.45,0.45,4,Y,ZN,5
0.1 MVA 10/0.4 kV ET 100/23  SGB,0.1,50,10,0.4,1.5,0.42,0.42001,3.75,Y,ZN,5
0.1 MVA 10/0.4 kV ET 100  SGB,0.1,50,10,0.4,1.5,0.42,0.42001,3.75,Y,ZN,5
0.1 MVA 10/0.4 kV Dyn7 wnr ASEA,0.1,50,10,0.4,1.7,0.34,0.34001,4,D,YN,7
0.1 MVA 10/0.4 kV Dyn7 ASEA,0.1,50,10,0.4,1.7,0.44,0.44001,4,D,YN,7
0.1 MVA 10/0.4 kV Dyn5 wnr ASEA,0.1,50,10,0.4,1.7,0.34,0.34001,4,D,YN,5
0.1 MVA 10/0.4 kV Dyn5 ASEA,0.1,50,10,0.4,1.7,0.44,0.44001,4,D,YN,5
0.1 MVA 10/0.4 kV Dyn11 wnr ASEA,0.1,50,10,0.4,1.7,0.34,0.34001,4,D,YN,11
0.1 MVA 10/0.4 kV Dyn11 ASEA,0.1,50,10,0.4,1.7,0.44,0.44001,4,D,YN,11
0.1 MVA 10/0.4 kV Dyn1 wnr ASEA,0.1,50,10,0.4,1.7,0.34,0.34001,4,D,YN,1
0.1 MVA 10/0.4 kV Dyn1 ASEA,0.1,50,10,0.4,1.7,0.44,0.44001,4,D,YN,1
0.1 MVA 10/0.4 kV DTTHL SGB,0.1,50,10,0.4,2.1,0.27,0.27001,4,Y,ZN,5
0.1 MVA 10/0.4 kV DTKa 4 SGB,0.1,50,10,0.4,1.95,0.45,0.45001,4,Y,ZN,5
0.1 MVA 10/0.4 kV DTKa 3.8 SGB,0.1,50,10,0.4,1.85,0.45,0.45001,3.8,Y,ZN,5
0.1 MVA 10/0.4 kV DT 100/10 F  SGB,0.1,50,10,0.4,1.7,0.51,0.51001,4,Y,ZN,5
0.1 MVA 10/0.4 kV DT 100  SGB,0.1,50,10,0.4,1.7,0.44,0.44001,4,Y,ZN,5
0.1 MVA 10/0.4 kV DOTNL 100/10  SGB,0.1,50,10,0.4,2.15,0.21,0.21001,4,Y,ZN,5
0.1 MVA 10/0.4 kV DOTN 100/10  SGB,0.1,50,10,0.4,2.15,0.29,0.29001,4,Y,ZN,5
0.1 MVA 10/0.4 kV DOTEL 100/10  SGB,0.1,50,10,0.4,1.75,0.21,0.21001,4,Y,ZN,5
0.1 MVA 10/0.4 kV DOTE 100/10  SGB,0.1,50,10,0.4,1.75,0.32,0.32001,4,Y,ZN,5
0.1 MVA 10/0.4 kV 6 GEAFOL,0.1,50,10,0.4,1.7,0.34,0.34,6,D,YN,5
0.1 MVA 10/0.4 kV 4 GEAFOL,0.1,50,10,0.4,1.7,0.34,0.34,4,D,YN,5
0.1 MVA 10/0.4 kV 0.44 GEAFOL,0.1,50,10,0.4,1.6,0.44,0.44,4,D,YN,5
0.1 MVA 10/0.4 kV 0.27 GEAFOL,0.1,50,10,0.4,1.7,0.27,0.27,6,D,YN,5
0.075 MVA 10/0.4 kV 0.36 GEAFOL,0.075,50,10,0.4,1.35,0.36,0.48,4,D,YN,5
0.075 MVA 10/0.4 kV 0.28 GEAFOL,0.075,50,10,0.4,1.35,0.28,0.3733333,4,D,YN,5
0.063 MVA 10/0.4 kV ET 63/23  SGB,0.063,50,10,0.4,1.05,0.3,0.4762,3.75,Y,ZN,5
0.063 MVA 10/0.4 kV ET 63  SGB,0.063,50,10,0.4,1.05,0.3,0.4762,3.75,Y,ZN,5
0.063 MVA 10/0.4 kV DTKa 4 SGB,0.063,50,10,0.4,1.4,0.36,0.571439,4,Y,ZN,5
0.063 MVA 10/0.4 kV DTKa 3.8 SGB,0.063,50,10,0.4,1.4,0.36,0.571439,3.8,Y,ZN,5
0.063 MVA 10/0.4 kV DT 63/10 F  SGB,0.063,50,10,0.4,1.35,0.42,0.666677,4,Y,ZN,5
0.063 MVA 10/0.4 kV DT 63  SGB,0.063,50,10,0.4,1.2,0.33,0.52382,4,Y,ZN,5
0.05 MVA 10/0.4 kV DTTHL SGB,0.05,50,10,0.4,1.3,0.18,0.36001,4,Y,ZN,5
0.05 MVA 10/0.4 kV 0.28 GEAFOL,0.05,50,10,0.4,1,0.28,0.56,4,D,YN,5
0.05 MVA 10/0.4 kV 0.22 GEAFOL,0.05,50,10,0.4,1.05,0.22,0.44,4,D,YN,5
0.04 MVA 10/0.4 kV ET 40/23  SGB,0.04,50,10,0.4,0.75,0.22,0.55001,3.75,Y,ZN,5
0.04 MVA 10/0.4 kV ET 40  SGB,0.04,50,10,0.4,0.75,0.22,0.55001,3.75,Y,ZN,5
0.04 MVA 10/0.4 kV DT 40  SGB,0.04,50,10,0.4,0.9,0.27,0.67501,4,Y,ZN,5
0.025 MVA 10/0.4 kV ET 25/23  SGB,0.025,50,10,0.4,0.55,0.15,0.60001,3.75,Y,ZN,5
0.025 MVA 10/0.4 kV ET 25  SGB,0.025,50,10,0.4,0.55,0.15,0.60001,3.75,Y,ZN,5
0.025 MVA 10/0.4 kV DT 25   SGB,0.025,50,10,0.4,0.7,0.2,0.80001,4,Y,ZN,5
0.016 MVA 10/0.4 kV ET 16/23  SGB,0.016,50,10,0.4,0.45,0.11,0.68751,3.75,Y,ZN,5
0.016 MVA 10/0.4 kV ET 16  SGB,0.016,50,10,0.4,0.45,0.11,0.68751,3.75,Y,ZN,5
0.016 MVA 10/0.4 kV DT 16   SGB,0.016,50,10,0.4,0.45,0.15,0.93751,4,Y,ZN,5
0.01 MVA 10/0.4 kV DT 10  SGB,0.01,50,10,0.4,0.35,0.12,1.20001,4,Y,ZN,5
0.05 MVA 20/0.4 kV DTTHL SGB,0.05,50,20,0.4,1.4,0.2,0.40001,6,Y,ZN,5
0.05 MVA 20/0.4 kV DTTHXL SGB,0.05,50,20,0.4,1.3,0.275,0.55001,4,Y,ZN,5
0.1 MVA 20/0.4 kV 0.37 GEAFOL,0.1,50,20,0.4,1.8,0.37,0.37,6,D,YN,5
0.1 MVA 20/0.4 kV 0.48 GEAFOL,0.1,50,20,0.4,1.8,0.48,0.48,6,D,YN,5
0.1 MVA 20/0.4 kV DOTE 100/20  SGB,0.1,50,20,0.4,1.75,0.32,0.32001,4,Y,ZN,5
0.1 MVA 20/0.4 kV DOTEL 100/20  SGB,0.1,50,20,0.4,1.75,0.21,0.21001,4,Y,ZN,5
0.1 MVA 20/0.4 kV DOTN 100/20  SGB,0.1,50,20,0.4,2.15,0.305,0.30501,4,Y,ZN,5
0.1 MVA 20/0.4 kV DOTNL 100/20  SGB,0.1,50,20,0.4,2.15,0.22,0.22001,4,Y,ZN,5
0.1 MVA 20/0.4 kV DTTHL SGB,0.1,50,20,0.4,2.3,0.3,0.30001,6,Y,ZN,5
0.1 MVA 20/0.4 kV DTTHXL SGB,0.1,50,20,0.4,2.1,0.375,0.37501,4,Y,ZN,5
0.1 MVA 20/0.4 kV Trafo Union,0.1,50,20,0.4,2.1,0.53,0.53,6,Y,ZN,5
0.1 MVA 20/0.4 kV Trafo Union wnr,0.1,50,20,0.4,2.1,0.4,0.4,6,Y,ZN,5
0.125 MVA 20/0.4 kV 0.43 GEAFOL,0.125,50,20,0.4,2.15,0.43,0.344,6,D,YN,5
0.125 MVA 20/0.4 kV 0.55 GEAFOL,0.125,50,20,0.4,2.15,0.55,0.44,6,D,YN,5
0.125 MVA 20/0.4 kV DOTE 125/20  SGB,0.125,50,20,0.4,2.05,0.39,0.31201,4,Y,ZN,5
0.125 MVA 20/0.4 kV DOTEL 125/20  SGB,0.125,50,20,0.4,2.05,0.255,0.20401,4,Y,ZN,5
0.125 MVA 20/0.4 kV DOTN 125/20  SGB,0.125,50,20,0.4,2.65,0.36,0.28801,4,Y,ZN,5
0.125 MVA 20/0.4 kV DOTNL 125/20  SGB,0.125,50,20,0.4,2.65,0.265,0.21201,4,Y,ZN,5
0.125 MVA 20/0.4 kV Trafo Union,0.125,50,20,0.4,2.3,0.57,0.45601,6,Y,ZN,5
0.125 MVA 20/0.4 kV Trafo Union wnr,0.125,50,20,0.4,2.4,0.45,0.36001,6,Y,ZN,5
0.16 MVA 20/0.4 kV 0.51 GEAFOL,0.16,50,20,0.4,2.6,0.51,0.31875,6,D,YN,5
0.16 MVA 20/0.4 kV 0.65 GEAFOL,0.16,50,20,0.4,2.6,0.65,0.40625,6,D,YN,5
0.16 MVA 20/0.4 kV DOTE 160/20  SGB,0.16,50,20,0.4,2.35,0.46,0.28751,4,Y,ZN,5
0.16 MVA 20/0.4 kV DOTEL 160/20  SGB,0.16,50,20,0.4,2.35,0.3,0.18751,4,Y,ZN,5
0.16 MVA 20/0.4 kV DOTN 160/20  SGB,0.16,50,20,0.4,3.1,0.41,0.25626,4,Y,ZN,5
0.16 MVA 20/0.4 kV DOTNL 160/20  SGB,0.16,50,20,0.4,3.1,0.31,0.19376,4,Y,ZN,5
0.16 MVA 20/0.4 kV DTTHL SGB,0.16,50,20,0.4,2.9,0.39,0.24376,6,D,YN,5
0.16 MVA 20/0.4 kV DTTHXL SGB,0.16,50,20,0.4,2.5,0.48,0.30001,4,D,YN,5
0.16 MVA 20/0.4 kV Trafo Union,0.16,50,20,0.4,2.8,0.65,0.40625,6,Y,ZN,5
0.16 MVA 20/0.4 kV Trafo Union wnr,0.16,50,20,0.4,3,0.52,0.325,6,Y,ZN,5
0.2 MVA 20/0.4 kV 0.59 GEAFOL,0.2,50,20,0.4,3.1,0.59,0.295,6,D,YN,5
0.2 MVA 20/0.4 kV 0.75 GEAFOL,0.2,50,20,0.4,2.9,0.75,0.375,6,D,YN,5
0.2 MVA 20/0.4 kV DOTE 200/20  SGB,0.2,50,20,0.4,2.85,0.55,0.27501,4,Y,ZN,5
0.2 MVA 20/0.4 kV DOTEL 200/20  SGB,0.2,50,20,0.4,2.85,0.36,0.18001,4,Y,ZN,5
0.2 MVA 20/0.4 kV DOTN 200/20  SGB,0.2,50,20,0.4,3.6,0.465,0.23251,4,Y,ZN,5
0.2 MVA 20/0.4 kV DOTNL 200/20  SGB,0.2,50,20,0.4,3.6,0.37,0.18501,4,Y,ZN,5
0.2 MVA 20/0.4 kV Trafo Union,0.2,50,20,0.4,3,0.73,0.365,6,Y,ZN,5
0.2 MVA 20/0.4 kV Trafo Union wnr,0.2,50,20,0.4,3.1,0.63,0.31501,6,Y,ZN,5
0.25 MVA 20/0.4 kV 0.45 Trafo Union,0.25,50,20,0.4,3.6,0.8,0.32001,6,Y,ZN,5
0.25 MVA 20/0.4 kV 0.57 Trafo Union wnr,0.25,50,20,0.4,3.7,0.67,0.26801,6,Y,ZN,5
0.25 MVA 20/0.4 kV 0.67 Trafo Union,0.25,50,20,0.4,3.6,0.8,0.32001,6,Y,ZN,5
0.25 MVA 20/0.4 kV 0.69 GEAFOL,0.25,50,20,0.4,3.3,0.69,0.276,6,D,YN,5
0.25 MVA 20/0.4 kV 0.8 Trafo Union wnr,0.25,50,20,0.4,3.7,0.67,0.26801,6,Y,ZN,5
0.25 MVA 20/0.4 kV 0.88 GEAFOL,0.25,50,20,0.4,3.3,0.88,0.352,6,D,YN,5
0.25 MVA 20/0.4 kV DOTE 250/20  SGB,0.25,50,20,0.4,3.25,0.65,0.26001,4,Y,ZN,5
0.25 MVA 20/0.4 kV DOTEL 250/20  SGB,0.25,50,20,0.4,3.25,0.42,0.16801,4,Y,ZN,5
0.25 MVA 20/0.4 kV DOTN 250/20  SGB,0.25,50,20,0.4,4.1,0.57,0.22801,4,Y,ZN,5
0.25 MVA 20/0.4 kV DOTNL 250/20  SGB,0.25,50,20,0.4,4.1,0.435,0.17401,4,Y,ZN,5
0.25 MVA 20/0.4 kV DTTHL SGB,0.25,50,20,0.4,3.5,0.55,0.22001,6,D,YN,5
0.25 MVA 20/0.4 kV DTTHXL SGB,0.25,50,20,0.4,3,0.65,0.26001,4,D,YN,5
0.25 MVA 20/0.4 kV Dyn0 wnr ASEA,0.25,50,20,0.4,3.3,0.67,0.26801,6,D,YN,0
0.25 MVA 20/0.4 kV Dyn1 ASEA,0.25,50,20,0.4,3.3,0.88,0.35201,6,D,YN,1
0.25 MVA 20/0.4 kV Dyn1 wnr ASEA,0.25,50,20,0.4,3.3,0.67,0.26801,6,D,YN,1
0.25 MVA 20/0.4 kV Dyn11 ASEA,0.25,50,20,0.4,3.3,0.88,0.35201,6,D,YN,11
0.25 MVA 20/0.4 kV Dyn11 wnr ASEA,0.25,50,20,0.4,3.3,0.67,0.26801,6,D,YN,11
0.25 MVA 20/0.4 kV Dyn5 ASEA,0.25,50,20,0.4,3.3,0.88,0.35201,6,D,YN,5
0.25 MVA 20/0.4 kV Dyn7 ASEA,0.25,50,20,0.4,3.3,0.88,0.35201,6,D,YN,7
0.25 MVA 20/0.4 kV Dyn7 wnr ASEA,0.25,50,20,0.4,3.3,0.67,0.26801,6,D,YN,7
0.25 MVA 20/0.4 kV Yyn0 ASEA,0.25,50,20,0.4,3.3,0.88,0.35201,6,Y,YN,0
0.25 MVA 20/0.4 kV Yyn0 wnr ASEA,0.25,50,20,0.4,3.3,0.67,0.26801,6,Y,YN,0
0.25 MVA 20/0.4 kV Yyn6 ASEA,0.25,50,20,0.4,3.3,0.88,0.35201,6,Y,YN,6
0.25 MVA 20/0.4 kV Yyn6 wnr ASEA,0.25,50,20,0.4,3.3,0.67,0.26801,6,Y,YN,6
0.315 MVA 20/0.4 kV 0.82 GEAFOL,0.315,50,20,0.4,4,0.82,0.2603175,6,D,YN,5
0.315 MVA 20/0.4 kV 1.05 GEAFOL,0.315,50,20,0.4,4,1.05,0.3333333,6,D,YN,5
0.315 MVA 20/0.4 kV DOTE 315/20  SGB,0.315,50,20,0.4,3.9,0.77,0.244454,4,Y,ZN,5
0.315 MVA 20/0.4 kV DOTEL 315/20  SGB,0.315,50,20,0.4,3.9,0.5,0.15874,4,Y,ZN,5
0.315 MVA 20/0.4 kV DOTN 315/20  SGB,0.315,50,20,0.4,4.9,0.68,0.215883,4,Y,ZN,5
0.315 MVA 20/0.4 kV DOTNL 315/20  SGB,0.315,50,20,0.4,4.9,0.52,0.165089,4,Y,ZN,5
0.315 MVA 20/0.4 kV Dyn0 wnr ASEA,0.315,50,20,0.4,4,0.82,0.260327,6,D,YN,0
0.315 MVA 20/0.4 kV Dyn1 ASEA,0.315,50,20,0.4,4,1.05,0.333343,6,D,YN,1
0.315 MVA 20/0.4 kV Dyn1 wnr ASEA,0.315,50,20,0.4,4,0.82,0.260327,6,D,YN,1
0.315 MVA 20/0.4 kV Dyn11 ASEA,0.315,50,20,0.4,4,1.05,0.333343,6,D,YN,11
0.315 MVA 20/0.4 kV Dyn11 wnr ASEA,0.315,50,20,0.4,4,0.82,0.260327,6,D,YN,11
0.315 MVA 20/0.4 kV Dyn5 ASEA,0.315,50,20,0.4,4,1.05,0.333343,6,D,YN,5
0.315 MVA 20/0.4 kV Dyn7 ASEA,0.315,50,20,0.4,4,1.05,0.333343,6,D,YN,7
0.315 MVA 20/0.4 kV Dyn7 wnr ASEA,0.315,50,20,0.4,4,0.82,0.260327,6,D,YN,7
0.315 MVA 20/0.4 kV Trafo Union,0.315,50,20,0.4,4.5,1.23,0.3904762,6,D,YN,5
0.315 MVA 20/0.4 kV Trafo Union wnr,0.315,50,20,0.4,4.7,0.95,0.3015873,6,D,YN,5
0.315 MVA 20/0.4 kV Yyn0 ASEA,0.315,50,20,0.4,4,1.05,0.333343,6,Y,YN,0
0.315 MVA 20/0.4 kV Yyn0 wnr ASEA,0.315,50,20,0.4,4,0.82,0.260327,6,Y,YN,0
0.315 MVA 20/0.4 kV Yyn6 ASEA,0.315,50,20,0.4,4,1.05,0.333343,6,Y,YN,6
0.315 MVA 20/0.4 kV Yyn6 wnr ASEA,0.315,50,20,0.4,4,0.82,0.260327,6,Y,YN,6
0.4 MVA 20/0.4 kV 0.94 GEAFOL,0.4,50,20,0.4,4.8,0.94,0.235,6,D,YN,5
0.4 MVA 20/0.4 kV 1.2 GEAFOL,0.4,50,20,0.4,4.8,1.2,0.3,6,D,YN,5
0.4 MVA 20/0.4 kV 1.2 GEAFOL/FC,0.4,50,20,0.4,4.5,1.2,0.3,6,D,YN,5
0.4 MVA 20/0.4 kV DOTE 400/20  SGB,0.4,50,20,0.4,4.6,0.93,0.23251,4,Y,ZN,5
0.4 MVA 20/0.4 kV DOTEL 400/20  SGB,0.4,50,20,0.4,4.6,0.6,0.15001,4,Y,ZN,5
0.4 MVA 20/0.4 kV DOTN 400/20  SGB,0.4,50,20,0.4,6,0.815,0.20376,4,Y,ZN,5
0.4 MVA 20/0.4 kV DOTNL 400/20  SGB,0.4,50,20,0.4,6,0.625,0.15626,4,Y,ZN,5
0.4 MVA 20/0.4 kV DTTH  SGB,0.4,50,20,0.4,4.8,1.1,0.27501,6,D,YN,5
0.4 MVA 20/0.4 kV DTTHL SGB,0.4,50,20,0.4,4.8,0.87,0.21751,6,D,YN,5
0.4 MVA 20/0.4 kV DTTHXL SGB,0.4,50,20,0.4,4.8,0.9,0.22501,4,D,YN,5
0.4 MVA 20/0.4 kV Dyn0 wnr ASEA,0.4,50,20,0.4,4.8,0.94,0.23501,6,D,YN,0
0.4 MVA 20/0.4 kV Dyn1 ASEA,0.4,50,20,0.4,4.8,1.2,0.30001,6,D,YN,1
0.4 MVA 20/0.4 kV Dyn1 wnr ASEA,0.4,50,20,0.4,4.8,0.94,0.23501,6,D,YN,1
0.4 MVA 20/0.4 kV Dyn11 ASEA,0.4,50,20,0.4,4.8,1.2,0.30001,6,D,YN,11
0.4 MVA 20/0.4 kV Dyn11 wnr ASEA,0.4,50,20,0.4,4.8,0.94,0.23501,6,D,YN,11
0.4 MVA 20/0.4 kV Dyn5 ASEA,0.4,50,20,0.4,4.8,1.2,0.30001,6,D,YN,5
0.4 MVA 20/0.4 kV Dyn7 ASEA,0.4,50,20,0.4,4.8,1.2,0.30001,6,D,YN,7
0.4 MVA 20/0.4 kV Dyn7 wnr ASEA,0.4,50,20,0.4,4.8,0.94,0.23501,6,D,YN,7
0.4 MVA 20/0.4 kV Trafo Union,0.4,50,20,0.4,5.7,1.35,0.3375,6,D,YN,5
0.4 MVA 20/0.4 kV Trafo Union wnr,0.4,50,20,0.4,5.5,1.05,0.2625,6,D,YN,5
0.4 MVA 20/0.4 kV Yyn0 ASEA,0.4,50,20,0.4,4.8,1.2,0.30001,6,Y,YN,0
0.4 MVA 20/0.4 kV Yyn0 wnr ASEA,0.4,50,20,0.4,4.8,0.94,0.23501,6,Y,YN,0
0.4 MVA 20/0.4 kV Yyn6 ASEA,0.4,50,20,0.4,4.8,1.2,0.30001,6,Y,YN,6
0.4 MVA 20/0.4 kV Yyn6 wnr ASEA,0.4,50,20,0.4,4.8,0.94,0.23501,6,Y,YN,6
0.5 MVA 20/0.4 kV 1.09 GEAFOL,0.5,50,20,0.4,5.7,1.09,0.218,6,D,YN,5
0.5 MVA 20/0.4 kV 1.4 GEAFOL,0.5,50,20,0.4,5,1.4,0.28,6,D,YN,5
0.5 MVA 20/0.4 kV 1.4 GEAFOL/FC,0.5,50,20,0.4,5.4,1.4,0.28,6,D,YN,5
0.5 MVA 20/0.4 kV DOTE 500/20  SGB,0.5,50,20,0.4,5.5,1.1,0.22001,4,Y,ZN,5
0.5 MVA 20/0.4 kV DOTEL 500/20  SGB,0.5,50,20,0.4,5.5,0.72,0.14401,4,Y,ZN,5
0.5 MVA 20/0.4 kV DOTN 500/20  SGB,0.5,50,20,0.4,7.15,0.98,0.19601,4,Y,ZN,5
